13
105
['486', '224', '742']
['806', '983', '8']
['131', '983', '822']
['742', '983', '806']
['847', '131', '742']
['8', '822', '486']
['380', '822', '131']
['224', '70', '742']
['224', '131', '160']
['822', '380', '806']
['224', '70', '806']
['2', '160', '742']
['224', '806', '2']
['224', '806', '847']
['131', '224', '806']
['742', '983', '486']
['160', '224', '380']
['742', '131', '983']
['847', '380', '131']
['160', '8', '70']
['8', '822', '983']
['8', '380', '224']
['983', '822', '380']
['224', '70', '822']
['224', '160', '8']
['160', '380', '2']
['224', '847', '2']
['160', '486', '224']
['983', '822', '70']
['224', '160', '983']
['70', '847', '380']
['2', '131', '822']
['131', '742', '983']
['70', '983', '131']
['742', '160', '983']
['742', '160', '822']
['983', '2', '160']
['486', '70', '380']
['8', '70', '742']
['486', '224', '822']
['131', '70', '8']
['160', '224', '486']
['131', '806', '822']
['486', '847', '983']
['2', '847', '380']
['486', '983', '380']
['742', '847', '983']
['224', '131', '847']
['806', '847', '983']
['983', '2', '847']
['983', '806', '380']
['822', '380', '2']
['70', '983', '742']
['806', '8', '486']
['160', '983', '224']
['822', '2', '806']
['847', '131', '8']
['224', '131', '806']
['847', '8', '983']
['847', '2', '742']
['380', '822', '160']
['983', '224', '160']
['2', '380', '70']
['486', '380', '70']
['160', '806', '380']
['486', '2', '70']
['380', '486', '70']
['847', '2', '983']
['822', '847', '160']
['806', '2', '486']
['486', '8', '983']
['847', '983', '8']
['131', '2', '160']
['131', '983', '486']
['2', '983', '847']
['742', '2', '70']
['131', '380', '160']
['70', '983', '160']
['160', '8', '131']
['847', '160', '131']
['160', '742', '8']
['224', '983', '160']
['822', '486', '742']
['847', '822', '486']
['70', '8', '380']
['160', '70', '983']
['2', '380', '742']
['742', '2', '806']
['160', '847', '983']
['742', '486', '2']
['742', '2', '822']
['224', '847', '380']
['742', '983', '70']
['70', '486', '380']
['2', '742', '131']
['486', '131', '8']
['160', '742', '224']
['8', '160', '742']
['847', '983', '131']
['2', '8', '486']
['847', '486', '806']
['8', '224', '822']
['742', '847', '822']
['380', '160', '847']
['847', '160', '486']
['806', '131', '2']
['70', '8', '983']
['822', '847', '380']
['160', '2', '742']
['224', '160', '742']
['8', '380', '70']
['8', '224', '822']
['486', '2', '847']
['8', '380', '224']
['224', '160', '70']
['742', '380', '160']
['2', '131', '486']
['131', '486', '380']
['8', '822', '131']
['822', '2', '131']
['2', '806', '131']
['983', '380', '8']
['822', '160', '742']
['8', '806', '2']
['983', '486', '742']
['742', '806', '224']
['224', '160', '742']
['983', '70', '486']
['131', '8', '160']
['983', '2', '847']
['2', '486', '983']
['806', '742', '2']
['822', '131', '847']
['822', '70', '380']
['2', '486', '822']
['742', '224', '806']
['8', '742', '2']
['983', '742', '806']
['160', '486', '822']
['8', '2', '131']
['224', '8', '131']
['224', '742', '2']
['983', '160', '486']
['983', '742', '8']
['983', '742', '806']
['2', '486', '822']
['8', '160', '131']
['847', '742', '224']
['486', '131', '8']
['822', '131', '70']
['847', '822', '70']
['224', '847', '2']
['131', '160', '822']
['8', '822', '2']
['70', '380', '8']
['806', '224', '2']
['131', '983', '742']
['380', '822', '8']
['131', '742', '160']
['806', '847', '70']
['983', '8', '70']
['8', '822', '2']
['806', '822', '160']
['486', '806', '160']
['380', '160', '131']
['2', '380', '847']
['2', '486', '131']
['742', '806', '983']
['8', '847', '742']
['822', '742', '983']
['983', '380', '8']
['847', '983', '160']
['806', '847', '742']
['983', '822', '742']
['224', '847', '380']
['847', '983', '380']
['847', '131', '742']
['70', '742', '486']
['847', '70', '8']
['742', '2', '380']
['8', '806', '742']
['224', '486', '742']
['847', '983', '8']
['742', '847', '2']
['983', '742', '2']
['2', '806', '224']
['2', '8', '847']
['160', '486', '822']
['160', '70', '983']
['380', '983', '806']
['806', '2', '224']
['160', '486', '847']
['224', '486', '806']
['131', '983', '2']
['2', '983', '486']
['224', '380', '806']
['742', '8', '70']
['847', '70', '160']
['160', '806', '847']
['742', '2', '847']
['486', '983', '2']
['70', '847', '806']
['847', '8', '2']
['2', '380', '8']
['486', '8', '224']
['822', '486', '847']
['983', '8', '224']
['822', '806', '8']
['131', '2', '847']
['70', '742', '2']
['822', '160', '380']
['380', '822', '806']
['822', '70', '2']
['822', '806', '380']
['380', '806', '983']
['131', '8', '806']
['70', '983', '131']
['847', '70', '822']
['847', '380', '131']
['70', '2', '380']
['742', '822', '160']
['822', '806', '742']
['847', '983', '160']
['822', '380', '983']
['822', '380', '486']
['486', '224', '160']
['160', '822', '8']
['486', '224', '822']
['131', '224', '2']
['70', '847', '822']
['822', '8', '742']
['224', '742', '806']
['160', '2', '70']
['486', '806', '8']
['224', '847', '742']
['486', '131', '380']
['742', '160', '380']
['983', '160', '8']
['983', '224', '822']
['847', '822', '983']
['742', '983', '847']
['486', '380', '131']
['806', '847', '742']
['380', '160', '70']
['983', '160', '70']
['8', '224', '847']
['806', '983', '822']
['224', '2', '847']
['224', '847', '380']
['486', '742', '822']
['806', '8', '486']
['742', '806', '380']
['131', '983', '806']
['847', '380', '983']
['806', '160', '131']
['486', '806', '742']
['742', '847', '224']
['806', '8', '742']
['160', '131', '742']
['224', '983', '8']
['742', '160', '486']
['742', '380', '224']
['983', '742', '2']
['8', '2', '983']
['2', '486', '131']
['983', '131', '486']
['131', '486', '847']
['822', '70', '742']
['131', '983', '486']
['983', '822', '224']
['160', '983', '742']
['8', '70', '224']
['131', '847', '2']
['2', '8', '224']
['847', '742', '486']
['806', '742', '822']
['70', '8', '806']
['380', '486', '822']
['224', '2', '380']
['224', '486', '131']
['160', '131', '806']
['8', '2', '486']
['224', '160', '2']
['8', '131', '847']
['486', '70', '983']
['131', '486', '160']
['983', '131', '70']
['847', '822', '742']
['131', '8', '224']
['380', '160', '70']
['8', '847', '380']
['983', '131', '8']
['822', '8', '806']
['8', '2', '847']
['486', '742', '160']
['2', '380', '70']
['8', '160', '380']
['806', '160', '70']
['70', '806', '847']
['8', '983', '131']
['131', '486', '160']
['742', '8', '224']
['380', '70', '486']
['486', '983', '2']
['70', '847', '380']
['380', '847', '983']
['486', '70', '131']
['486', '70', '131']
['131', '380', '2']
['2', '131', '847']
['983', '131', '380']
['380', '486', '822']
['380', '224', '131']
['70', '983', '160']
['742', '131', '2']
['131', '224', '380']
['224', '806', '847']
['847', '2', '822']
['847', '2', '380']
['806', '486', '847']
['380', '847', '806']
['742', '2', '822']
['983', '822', '224']
['380', '2', '822']
['742', '806', '380']
['224', '742', '160']
['486', '2', '822']
['8', '983', '131']
['131', '2', '160']
['8', '806', '160']
['160', '131', '70']
['8', '380', '224']
['822', '8', '160']
['224', '822', '742']
['380', '2', '486']
['806', '131', '486']
['486', '380', '2']
['847', '742', '822']
['847', '131', '8']
['160', '2', '983']
['131', '847', '806']
['160', '380', '742']
['380', '2', '742']
['806', '380', '131']
['742', '806', '847']
['131', '822', '380']
['822', '131', '70']
['822', '983', '70']
['2', '224', '160']
['822', '160', '983']
['8', '160', '2']
['70', '742', '2']
['983', '742', '8']
['742', '131', '8']
['983', '8', '847']
['983', '847', '2']
['742', '847', '8']
['983', '160', '847']
['224', '806', '742']
['847', '806', '8']
['70', '224', '160']
['224', '486', '380']
['2', '847', '806']
['983', '2', '70']
['847', '70', '224']
['822', '380', '70']
['160', '822', '380']
['983', '160', '380']
['131', '847', '822']
['486', '847', '983']
['70', '8', '742']
['8', '160', '131']
['806', '160', '131']
['131', '224', '806']
['2', '983', '8']
['2', '8', '380']
['486', '224', '822']
['380', '224', '160']
['70', '822', '131']
['70', '160', '742']
['742', '131', '380']
['2', '822', '847']
['160', '806', '847']
['160', '8', '742']
['160', '380', '224']
['70', '160', '486']
['8', '2', '486']
['806', '2', '131']
['380', '822', '847']
['131', '8', '160']
['742', '131', '70']
['2', '8', '70']
['486', '742', '8']
['224', '160', '822']
['806', '486', '983']
['380', '742', '2']
['224', '131', '160']
['160', '742', '2']
['160', '983', '8']
['486', '822', '742']
['742', '224', '70']
['847', '822', '160']
['380', '847', '806']
['8', '131', '224']
['847', '224', '380']
['160', '70', '822']
['131', '983', '380']
['224', '160', '380']
['742', '380', '486']
['847', '160', '2']
['160', '983', '2']
['742', '70', '380']
['380', '2', '983']
['822', '131', '742']
['380', '486', '8']
['983', '380', '806']
['160', '8', '983']
['806', '160', '847']
['131', '224', '983']
['806', '380', '224']
['8', '2', '847']
['2', '822', '380']
['2', '224', '742']
['224', '380', '742']
['806', '224', '2']
['742', '380', '70']
['380', '8', '70']
['2', '131', '224']
['847', '486', '8']
['380', '486', '2']
['983', '742', '131']
['847', '131', '486']
['8', '160', '983']
