780
500
['7', '157', '401', '795', '12', '501']
['14', '164', '402', '790', '19', '502']
['21', '171', '403', '785', '26', '503']
['28', '178', '404', '780', '33', '504']
['35', '185', '405', '775', '40', '505']
['42', '192', '406', '770', '47', '506']
['49', '199', '407', '765', '54', '507']
['56', '206', '408', '760', '61', '508']
['63', '213', '409', '755', '68', '509']
['70', '220', '410', '750', '75', '510']
['77', '227', '411', '745', '82', '511']
['84', '234', '412', '740', '89', '512']
['91', '241', '413', '735', '96', '513']
['98', '248', '414', '730', '103', '514']
['105', '255', '415', '725', '110', '515']
['112', '262', '416', '720', '117', '516']
['119', '269', '417', '715', '124', '517']
['126', '276', '418', '710', '131', '518']
['133', '283', '419', '705', '138', '519']
['4', '19', '796']
['5', '23', '795']
['6', '27', '794']
['7', '31', '793']
['8', '35', '792']
['9', '39', '791']
['10', '43', '790']
['11', '47', '789']
['12', '51', '788']
['13', '55', '787']
['14', '59', '786']
['15', '63', '785']
['16', '67', '784']
['17', '71', '783']
['18', '75', '782']
['19', '79', '781']
['20', '83', '780']
['21', '87', '779']
['22', '91', '778']
['5', '24', '795']
['6', '28', '794']
['7', '32', '793']
['8', '36', '792']
['9', '40', '791']
['10', '44', '790']
['11', '48', '789']
['12', '52', '788']
['13', '56', '787']
['14', '60', '786']
['15', '64', '785']
['16', '68', '784']
['17', '72', '783']
['18', '76', '782']
['19', '80', '781']
['20', '84', '780']
['21', '88', '779']
['22', '92', '778']
['23', '96', '777']
['6', '29', '794']
['7', '33', '793']
['8', '37', '792']
['9', '41', '791']
['10', '45', '790']
['11', '49', '789']
['12', '53', '788']
['13', '57', '787']
['14', '61', '786']
['15', '65', '785']
['16', '69', '784']
['17', '73', '783']
['18', '77', '782']
['19', '81', '781']
['20', '85', '780']
['21', '89', '779']
['22', '93', '778']
['23', '97', '777']
['24', '101', '776']
['7', '34', '793']
['8', '38', '792']
['9', '42', '791']
['10', '46', '790']
['11', '50', '789']
['12', '54', '788']
['13', '58', '787']
['14', '62', '786']
['15', '66', '785']
['16', '70', '784']
['17', '74', '783']
['18', '78', '782']
['19', '82', '781']
['20', '86', '780']
['21', '90', '779']
['22', '94', '778']
['23', '98', '777']
['24', '102', '776']
['25', '106', '775']
['8', '39', '792']
['9', '43', '791']
['10', '47', '790']
['11', '51', '789']
['12', '55', '788']
['13', '59', '787']
['14', '63', '786']
['15', '67', '785']
['16', '71', '784']
['17', '75', '783']
['18', '79', '782']
['19', '83', '781']
['20', '87', '780']
['21', '91', '779']
['22', '95', '778']
['23', '99', '777']
['24', '103', '776']
['25', '107', '775']
['26', '111', '774']
['9', '44', '791']
['10', '48', '790']
['11', '52', '789']
['12', '56', '788']
['13', '60', '787']
['14', '64', '786']
['15', '68', '785']
['16', '72', '784']
['17', '76', '783']
['18', '80', '782']
['19', '84', '781']
['20', '88', '780']
['21', '92', '779']
['22', '96', '778']
['23', '100', '777']
['24', '104', '776']
['25', '108', '775']
['26', '112', '774']
['27', '116', '773']
['10', '49', '790']
['11', '53', '789']
['12', '57', '788']
['13', '61', '787']
['14', '65', '786']
['15', '69', '785']
['16', '73', '784']
['17', '77', '783']
['18', '81', '782']
['19', '85', '781']
['20', '89', '780']
['21', '93', '779']
['22', '97', '778']
['23', '101', '777']
['24', '105', '776']
['25', '109', '775']
['26', '113', '774']
['27', '117', '773']
['28', '121', '772']
['11', '54', '789']
['12', '58', '788']
['13', '62', '787']
['14', '66', '786']
['15', '70', '785']
['16', '74', '784']
['17', '78', '783']
['18', '82', '782']
['19', '86', '781']
['20', '90', '780']
['21', '94', '779']
['22', '98', '778']
['23', '102', '777']
['24', '106', '776']
['25', '110', '775']
['26', '114', '774']
['27', '118', '773']
['28', '122', '772']
['29', '126', '771']
['12', '59', '788']
['13', '63', '787']
['14', '67', '786']
['15', '71', '785']
['16', '75', '784']
['17', '79', '783']
['18', '83', '782']
['19', '87', '781']
['20', '91', '780']
['21', '95', '779']
['22', '99', '778']
['23', '103', '777']
['24', '107', '776']
['25', '111', '775']
['26', '115', '774']
['27', '119', '773']
['28', '123', '772']
['29', '127', '771']
['30', '131', '770']
['13', '64', '787']
['14', '68', '786']
['15', '72', '785']
['16', '76', '784']
['17', '80', '783']
['18', '84', '782']
['19', '88', '781']
['20', '92', '780']
['21', '96', '779']
['22', '100', '778']
['23', '104', '777']
['24', '108', '776']
['25', '112', '775']
['26', '116', '774']
['27', '120', '773']
['28', '124', '772']
['29', '128', '771']
['30', '132', '770']
['31', '136', '769']
['14', '69', '786']
['15', '73', '785']
['16', '77', '784']
['17', '81', '783']
['18', '85', '782']
['19', '89', '781']
['20', '93', '780']
['21', '97', '779']
['22', '101', '778']
['23', '105', '777']
['24', '109', '776']
['25', '113', '775']
['26', '117', '774']
['27', '121', '773']
['28', '125', '772']
['29', '129', '771']
['30', '133', '770']
['31', '137', '769']
['32', '141', '768']
['15', '74', '785']
['16', '78', '784']
['17', '82', '783']
['18', '86', '782']
['19', '90', '781']
['20', '94', '780']
['21', '98', '779']
['22', '102', '778']
['23', '106', '777']
['24', '110', '776']
['25', '114', '775']
['26', '118', '774']
['27', '122', '773']
['28', '126', '772']
['29', '130', '771']
['30', '134', '770']
['31', '138', '769']
['32', '142', '768']
['33', '146', '767']
['16', '79', '784']
['17', '83', '783']
['18', '87', '782']
['19', '91', '781']
['20', '95', '780']
['21', '99', '779']
['22', '103', '778']
['23', '107', '777']
['24', '111', '776']
['25', '115', '775']
['26', '119', '774']
['27', '123', '773']
['28', '127', '772']
['29', '131', '771']
['30', '135', '770']
['31', '139', '769']
['32', '143', '768']
['33', '147', '767']
['34', '151', '766']
['17', '84', '783']
['18', '88', '782']
['19', '92', '781']
['20', '96', '780']
['21', '100', '779']
