200
5
['g0c0', 'g0c1']
['g0c1', 'g0c2']
['g0c2', 'g0c3']
['g0c3', 'g0c4']
['g0c4', 'g0c0']
['g1c0', 'g1c1']
['g1c1', 'g1c2']
['g1c2', 'g1c3']
['g1c3', 'g1c4']
['g1c4', 'g1c0']
['g2c0', 'g2c1']
['g2c1', 'g2c2']
['g2c2', 'g2c3']
['g2c3', 'g2c4']
['g2c4', 'g2c0']
['g3c0', 'g3c1']
['g3c1', 'g3c2']
['g3c2', 'g3c3']
['g3c3', 'g3c4']
['g3c4', 'g3c0']
['g4c0', 'g4c1']
['g4c1', 'g4c2']
['g4c2', 'g4c3']
['g4c3', 'g4c4']
['g4c4', 'g4c0']
['g5c0', 'g5c1']
['g5c1', 'g5c2']
['g5c2', 'g5c3']
['g5c3', 'g5c4']
['g5c4', 'g5c0']
['g6c0', 'g6c1']
['g6c1', 'g6c2']
['g6c2', 'g6c3']
['g6c3', 'g6c4']
['g6c4', 'g6c0']
['g7c0', 'g7c1']
['g7c1', 'g7c2']
['g7c2', 'g7c3']
['g7c3', 'g7c4']
['g7c4', 'g7c0']
['g8c0', 'g8c1']
['g8c1', 'g8c2']
['g8c2', 'g8c3']
['g8c3', 'g8c4']
['g8c4', 'g8c0']
['g9c0', 'g9c1']
['g9c1', 'g9c2']
['g9c2', 'g9c3']
['g9c3', 'g9c4']
['g9c4', 'g9c0']
['g10c0', 'g10c1']
['g10c1', 'g10c2']
['g10c2', 'g10c3']
['g10c3', 'g10c4']
['g10c4', 'g10c0']
['g11c0', 'g11c1']
['g11c1', 'g11c2']
['g11c2', 'g11c3']
['g11c3', 'g11c4']
['g11c4', 'g11c0']
['g12c0', 'g12c1']
['g12c1', 'g12c2']
['g12c2', 'g12c3']
['g12c3', 'g12c4']
['g12c4', 'g12c0']
['g13c0', 'g13c1']
['g13c1', 'g13c2']
['g13c2', 'g13c3']
['g13c3', 'g13c4']
['g13c4', 'g13c0']
['g14c0', 'g14c1']
['g14c1', 'g14c2']
['g14c2', 'g14c3']
['g14c3', 'g14c4']
['g14c4', 'g14c0']
['g15c0', 'g15c1']
['g15c1', 'g15c2']
['g15c2', 'g15c3']
['g15c3', 'g15c4']
['g15c4', 'g15c0']
['g16c0', 'g16c1']
['g16c1', 'g16c2']
['g16c2', 'g16c3']
['g16c3', 'g16c4']
['g16c4', 'g16c0']
['g17c0', 'g17c1']
['g17c1', 'g17c2']
['g17c2', 'g17c3']
['g17c3', 'g17c4']
['g17c4', 'g17c0']
['g18c0', 'g18c1']
['g18c1', 'g18c2']
['g18c2', 'g18c3']
['g18c3', 'g18c4']
['g18c4', 'g18c0']
['g19c0', 'g19c1']
['g19c1', 'g19c2']
['g19c2', 'g19c3']
['g19c3', 'g19c4']
['g19c4', 'g19c0']
['g20c0', 'g20c1']
['g20c1', 'g20c2']
['g20c2', 'g20c3']
['g20c3', 'g20c4']
['g20c4', 'g20c0']
['g21c0', 'g21c1']
['g21c1', 'g21c2']
['g21c2', 'g21c3']
['g21c3', 'g21c4']
['g21c4', 'g21c0']
['g22c0', 'g22c1']
['g22c1', 'g22c2']
['g22c2', 'g22c3']
['g22c3', 'g22c4']
['g22c4', 'g22c0']
['g23c0', 'g23c1']
['g23c1', 'g23c2']
['g23c2', 'g23c3']
['g23c3', 'g23c4']
['g23c4', 'g23c0']
['g24c0', 'g24c1']
['g24c1', 'g24c2']
['g24c2', 'g24c3']
['g24c3', 'g24c4']
['g24c4', 'g24c0']
['g25c0', 'g25c1']
['g25c1', 'g25c2']
['g25c2', 'g25c3']
['g25c3', 'g25c4']
['g25c4', 'g25c0']
['g26c0', 'g26c1']
['g26c1', 'g26c2']
['g26c2', 'g26c3']
['g26c3', 'g26c4']
['g26c4', 'g26c0']
['g27c0', 'g27c1']
['g27c1', 'g27c2']
['g27c2', 'g27c3']
['g27c3', 'g27c4']
['g27c4', 'g27c0']
['g28c0', 'g28c1']
['g28c1', 'g28c2']
['g28c2', 'g28c3']
['g28c3', 'g28c4']
['g28c4', 'g28c0']
['g29c0', 'g29c1']
['g29c1', 'g29c2']
['g29c2', 'g29c3']
['g29c3', 'g29c4']
['g29c4', 'g29c0']
['g30c0', 'g30c1']
['g30c1', 'g30c2']
['g30c2', 'g30c3']
['g30c3', 'g30c4']
['g30c4', 'g30c0']
['g31c0', 'g31c1']
['g31c1', 'g31c2']
['g31c2', 'g31c3']
['g31c3', 'g31c4']
['g31c4', 'g31c0']
['g32c0', 'g32c1']
['g32c1', 'g32c2']
['g32c2', 'g32c3']
['g32c3', 'g32c4']
['g32c4', 'g32c0']
['g33c0', 'g33c1']
['g33c1', 'g33c2']
['g33c2', 'g33c3']
['g33c3', 'g33c4']
['g33c4', 'g33c0']
['g34c0', 'g34c1']
['g34c1', 'g34c2']
['g34c2', 'g34c3']
['g34c3', 'g34c4']
['g34c4', 'g34c0']
['g35c0', 'g35c1']
['g35c1', 'g35c2']
['g35c2', 'g35c3']
['g35c3', 'g35c4']
['g35c4', 'g35c0']
['g36c0', 'g36c1']
['g36c1', 'g36c2']
['g36c2', 'g36c3']
['g36c3', 'g36c4']
['g36c4', 'g36c0']
['g37c0', 'g37c1']
['g37c1', 'g37c2']
['g37c2', 'g37c3']
['g37c3', 'g37c4']
['g37c4', 'g37c0']
['g38c0', 'g38c1']
['g38c1', 'g38c2']
['g38c2', 'g38c3']
['g38c3', 'g38c4']
['g38c4', 'g38c0']
['g39c0', 'g39c1']
['g39c1', 'g39c2']
['g39c2', 'g39c3']
['g39c3', 'g39c4']
['g39c4', 'g39c0']
['g40c0', 'g40c1']
['g40c1', 'g40c2']
['g40c2', 'g40c3']
['g40c3', 'g40c4']
['g40c4', 'g40c0']
['g41c0', 'g41c1']
['g41c1', 'g41c2']
['g41c2', 'g41c3']
['g41c3', 'g41c4']
['g41c4', 'g41c0']
['g42c0', 'g42c1']
['g42c1', 'g42c2']
['g42c2', 'g42c3']
['g42c3', 'g42c4']
['g42c4', 'g42c0']
['g43c0', 'g43c1']
['g43c1', 'g43c2']
['g43c2', 'g43c3']
['g43c3', 'g43c4']
['g43c4', 'g43c0']
['g44c0', 'g44c1']
['g44c1', 'g44c2']
['g44c2', 'g44c3']
['g44c3', 'g44c4']
['g44c4', 'g44c0']
['g45c0', 'g45c1']
['g45c1', 'g45c2']
['g45c2', 'g45c3']
['g45c3', 'g45c4']
['g45c4', 'g45c0']
['g46c0', 'g46c1']
['g46c1', 'g46c2']
['g46c2', 'g46c3']
['g46c3', 'g46c4']
['g46c4', 'g46c0']
['g47c0', 'g47c1']
['g47c1', 'g47c2']
['g47c2', 'g47c3']
['g47c3', 'g47c4']
['g47c4', 'g47c0']
['g48c0', 'g48c1']
['g48c1', 'g48c2']
['g48c2', 'g48c3']
['g48c3', 'g48c4']
['g48c4', 'g48c0']
['g49c0', 'g49c1']
['g49c1', 'g49c2']
['g49c2', 'g49c3']
['g49c3', 'g49c4']
['g49c4', 'g49c0']
