25
25
['a279', 'a75', 'a558', 'a406', 'a138', 'a608', 'a283', 'a122']
['a389', 'a123', 'a169', 'a448', 'a53', 'a528', 'a403', 'a81']
['a410', 'a94', 'a37', 'a376', 'a411', 'a530', 'a62', 'a169']
['a239', 'a453', 'a501', 'a123', 'a608', 'a180', 'a115', 'a428']
['a353', 'a148', 'a460', 'a493', 'a380', 'a498', 'a27', 'a505']
['a205', 'a528', 'a525', 'a535', 'a264', 'a353', 'a208', 'a297']
['a379', 'a50', 'a407', 'a43', 'a360', 'a242', 'a564', 'a481']
['a50', 'a22', 'a49', 'a217', 'a123', 'a505', 'a549', 'a429']
['a598', 'a152', 'a350', 'a44', 'a562', 'a306', 'a276', 'a531']
['a36', 'a64', 'a621', 'a44', 'a594', 'a16', 'a34', 'a468']
['a538', 'a153', 'a139', 'a360', 'a320', 'a42', 'a249', 'a7']
['a494', 'a129', 'a215', 'a400', 'a619', 'a175', 'a475', 'a624']
['a347', 'a261', 'a180', 'a288', 'a384', 'a562', 'a173', 'a471']
['a299', 'a476', 'a1', 'a134', 'a467', 'a309', 'a302', 'a203']
['a39', 'a242', 'a434', 'a494', 'a511', 'a69', 'a267', 'a300']
['a460', 'a320', 'a423', 'a454', 'a373', 'a605', 'a380', 'a88']
['a55', 'a167', 'a289', 'a56', 'a238', 'a72', 'a87', 'a491']
['a78', 'a248', 'a75', 'a179', 'a404', 'a134', 'a316', 'a141']
['a168', 'a286', 'a492', 'a299', 'a128', 'a100', 'a406', 'a543']
['a39', 'a24', 'a110', 'a266', 'a7', 'a362', 'a343', 'a514']
['a145', 'a308', 'a522', 'a351', 'a358', 'a232', 'a122', 'a216']
['a80', 'a294', 'a551', 'a14', 'a117', 'a354', 'a59', 'a216']
['a326', 'a65', 'a127', 'a309', 'a260', 'a246', 'a37', 'a359']
['a533', 'a95', 'a32', 'a252', 'a460', 'a566', 'a355', 'a618']
['a220', 'a349', 'a109', 'a474', 'a596', 'a343', 'a503', 'a134']
['a331', 'a124', 'a226', 'a554', 'a569', 'a413', 'a444', 'a120']
['a303', 'a446', 'a417', 'a515', 'a375', 'a260', 'a373', 'a566']
['a564', 'a545', 'a600', 'a555', 'a504', 'a547', 'a183', 'a462']
['a504', 'a42', 'a395', 'a44', 'a377', 'a428', 'a524', 'a472']
['a609', 'a229', 'a251', 'a162', 'a195', 'a535', 'a496', 'a120']
['a256', 'a249', 'a265', 'a422', 'a439', 'a101', 'a493', 'a373']
['a589', 'a209', 'a98', 'a229', 'a510', 'a400', 'a247', 'a152']
['a582', 'a312', 'a309', 'a103', 'a260', 'a316', 'a190', 'a394']
['a246', 'a379', 'a346', 'a563', 'a44', 'a290', 'a518', 'a28']
['a105', 'a513', 'a546', 'a121', 'a499', 'a329', 'a356', 'a477']
