30
30
['DQM', 'GTN']
['DXV', 'TKH']
['MJT', 'OSS']
['HSW', 'BAH']
['KDF', 'ZXK']
['WBM', 'FQL']
['JSR', 'DBI']
['DBJ', 'NZL']
['CUE', 'PEE']
['VZE', 'JIP']
['KQX', 'WRA']
['KJM', 'HAI']
['AAJ', 'SDA']
['UON', 'VFA']
['ZEW', 'LER']
['MDJ', 'VJE']
['HSL', 'DEW']
['KXE', 'YAN']
['LJQ', 'GUG']
['NYA', 'HGI']
['XUN', 'RKH']
['EUE', 'VPF']
['OAB', 'WZZ']
['HEH', 'WEV']
['SLE', 'HPS']
['UGM', 'XZP']
['VZT', 'JWA']
['UBB', 'YVJ']
['OED', 'ITY']
['GML', 'SEI']
['MEU', 'OTQ', 'GUV', 'WKW', 'COH', 'IZD', 'NNP', 'WZE', 'WGE', 'PDK', 'IWT', 'XYV', 'GPR', 'TPR', 'JSH', 'UNU', 'SDG', 'NLK', 'SXV', 'ZKF', 'YQI', 'GJV', 'IAO', 'LDB', 'EAH', 'AZR', 'MIP', 'DLY', 'DXV']
['MEU', 'OTQ', 'GUV', 'WKW', 'COH', 'IZD', 'NNP', 'WZE', 'WGE', 'PDK', 'IWT', 'XYV', 'GPR', 'TPR', 'JSH', 'UNU', 'SDG', 'NLK', 'SXV', 'ZKF', 'YQI', 'GJV', 'IAO', 'LDB', 'EAH', 'AZR', 'MIP', 'DLY', 'TKH']
['MEU', 'OTQ', 'GUV', 'WKW', 'COH', 'IZD', 'NNP', 'WZE', 'WGE', 'PDK', 'IWT', 'XYV', 'GPR', 'TPR', 'JSH', 'UNU', 'SDG', 'NLK', 'SXV', 'ZKF', 'YQI', 'GJV', 'IAO', 'LDB', 'EAH', 'AZR', 'MIP', 'DLY', 'MJT']
['MEU', 'OTQ', 'GUV', 'WKW', 'COH', 'IZD', 'NNP', 'WZE', 'WGE', 'PDK', 'IWT', 'XYV', 'GPR', 'TPR', 'JSH', 'UNU', 'SDG', 'NLK', 'SXV', 'ZKF', 'YQI', 'GJV', 'IAO', 'LDB', 'EAH', 'AZR', 'MIP', 'DLY', 'OSS']
['MEU', 'OTQ', 'GUV', 'WKW', 'COH', 'IZD', 'NNP', 'WZE', 'WGE', 'PDK', 'IWT', 'XYV', 'GPR', 'TPR', 'JSH', 'UNU', 'SDG', 'NLK', 'SXV', 'ZKF', 'YQI', 'GJV', 'IAO', 'LDB', 'EAH', 'AZR', 'MIP', 'DLY', 'HSW']
['MEU', 'OTQ', 'GUV', 'WKW', 'COH', 'IZD', 'NNP', 'WZE', 'WGE', 'PDK', 'IWT', 'XYV', 'GPR', 'TPR', 'JSH', 'UNU', 'SDG', 'NLK', 'SXV', 'ZKF', 'YQI', 'GJV', 'IAO', 'LDB', 'EAH', 'AZR', 'MIP', 'DLY', 'BAH']
['MEU', 'OTQ', 'GUV', 'WKW', 'COH', 'IZD', 'NNP', 'WZE', 'WGE', 'PDK', 'IWT', 'XYV', 'GPR', 'TPR', 'JSH', 'UNU', 'SDG', 'NLK', 'SXV', 'ZKF', 'YQI', 'GJV', 'IAO', 'LDB', 'EAH', 'AZR', 'MIP', 'DLY', 'KDF']
['MEU', 'OTQ', 'GUV', 'WKW', 'COH', 'IZD', 'NNP', 'WZE', 'WGE', 'PDK', 'IWT', 'XYV', 'GPR', 'TPR', 'JSH', 'UNU', 'SDG', 'NLK', 'SXV', 'ZKF', 'YQI', 'GJV', 'IAO', 'LDB', 'EAH', 'AZR', 'MIP', 'DLY', 'ZXK']
['MEU', 'OTQ', 'GUV', 'WKW', 'COH', 'IZD', 'NNP', 'WZE', 'WGE', 'PDK', 'IWT', 'XYV', 'GPR', 'TPR', 'JSH', 'UNU', 'SDG', 'NLK', 'SXV', 'ZKF', 'YQI', 'GJV', 'IAO', 'LDB', 'EAH', 'AZR', 'MIP', 'DLY', 'WBM']
['MEU', 'OTQ', 'GUV', 'WKW', 'COH', 'IZD', 'NNP', 'WZE', 'WGE', 'PDK', 'IWT', 'XYV', 'GPR', 'TPR', 'JSH', 'UNU', 'SDG', 'NLK', 'SXV', 'ZKF', 'YQI', 'GJV', 'IAO', 'LDB', 'EAH', 'AZR', 'MIP', 'DLY', 'FQL']
['MEU', 'OTQ', 'GUV', 'WKW', 'COH', 'IZD', 'NNP', 'WZE', 'WGE', 'PDK', 'IWT', 'XYV', 'GPR', 'TPR', 'JSH', 'UNU', 'SDG', 'NLK', 'SXV', 'ZKF', 'YQI', 'GJV', 'IAO', 'LDB', 'EAH', 'AZR', 'MIP', 'DLY', 'JSR']
