5
200
['454', '140', '102', '156', '213', '249', '467', '608', '967', '790', '857', '69', '128', '202', '247', '300', '359', '864', '76', '789', '876', '927', '266', '342', '369', '380', '466', '543', '573', '657', '822', '824', '849', '866', '888', '931', '99', '132', '245', '435', '482', '904', '909', '43', '49', '97', '165', '224', '539', '603', '626', '666', '710', '728', '770', '784', '905', '969', '974', '7', '153', '207', '340', '416', '449', '538', '928', '3', '11', '29', '203', '316', '368', '387', '398', '432', '524', '580', '612', '615', '628', '740', '881', '965', '14', '42', '64', '87', '96', '137', '295', '355', '431', '518', '532', '594', '639', '718', '744', '763', '827', '946', '951', '12', '85', '112', '228', '320', '336', '417', '511', '711', '802', '844', '861', '884', '953', '985', '103', '127', '209', '226', '386', '521', '566', '581', '708', '750', '843', '39', '56', '159', '184', '278', '315', '325', '328', '375', '404', '421', '459', '589', '637', '703', '713', '722', '738', '960', '972', '18', '95', '134', '199', '280', '298', '400', '419', '497', '508', '535', '574', '618', '673', '689', '715', '755', '771', '808', '809', '825', '845', '852', '896', '922', '948']
['454', '140']
['140', '102']
['102', '156']
['156', '213']
['213', '249']
['249', '467']
['467', '608']
['608', '967']
['967', '790']
['790', '857']
['857', '69']
['69', '128']
['128', '202']
['202', '247']
['247', '300']
['300', '359']
['359', '864']
['864', '76']
['76', '789']
['789', '876']
['876', '927']
['927', '266']
['266', '342']
['342', '369']
['369', '380']
['380', '466']
['466', '543']
['543', '573']
['573', '657']
['657', '822']
['822', '824']
['824', '849']
['849', '866']
['866', '888']
['888', '931']
['931', '99']
['99', '132']
['132', '245']
['245', '435']
['435', '482']
['482', '904']
['904', '909']
['909', '43']
['43', '49']
['49', '97']
['97', '165']
['165', '224']
['224', '539']
['539', '603']
['603', '626']
['626', '666']
['666', '710']
['710', '728']
['728', '770']
['770', '784']
['784', '905']
['905', '969']
['969', '974']
['974', '7']
['7', '153']
['153', '207']
['207', '340']
['340', '416']
['416', '449']
['449', '538']
['538', '928']
['928', '3']
['3', '11']
['11', '29']
['29', '203']
['203', '316']
['316', '368']
['368', '387']
['387', '398']
['398', '432']
['432', '524']
['524', '580']
['580', '612']
['612', '615']
['615', '628']
['628', '740']
['740', '881']
['881', '965']
['965', '14']
['14', '42']
['42', '64']
['64', '87']
['87', '96']
['96', '137']
['137', '295']
['295', '355']
['355', '431']
['431', '518']
['518', '532']
['532', '594']
['594', '639']
['639', '718']
['718', '744']
['744', '763']
['763', '827']
['827', '946']
['946', '951']
['951', '12']
['12', '85']
['85', '112']
['112', '228']
['228', '320']
['320', '336']
['336', '417']
['417', '511']
['511', '711']
['711', '802']
['802', '844']
['844', '861']
['861', '884']
['884', '953']
['953', '985']
['985', '103']
['103', '127']
['127', '209']
['209', '226']
['226', '386']
['386', '521']
['521', '566']
['566', '581']
['581', '708']
['708', '750']
['750', '843']
['843', '39']
['39', '56']
['56', '159']
['159', '184']
['184', '278']
['278', '315']
['315', '325']
['325', '328']
['328', '375']
['375', '404']
['404', '421']
['421', '459']
['459', '589']
['589', '637']
['637', '703']
['703', '713']
['713', '722']
['722', '738']
['738', '960']
['960', '972']
['972', '18']
['18', '95']
['95', '134']
['134', '199']
['199', '280']
['280', '298']
['298', '400']
['400', '419']
['419', '497']
['497', '508']
['508', '535']
['535', '574']
['574', '618']
['618', '673']
['673', '689']
['689', '715']
['715', '755']
['755', '771']
['771', '808']
['808', '809']
['809', '825']
['825', '845']
['845', '852']
['852', '896']
['896', '922']
['922', '948']
['12', '39', '103', '215', '303']
['714', '814', '829', '0']
['91', '97', '268', '347', '452', '710']
['744', '828', '833', '908', '978', '1']
['46', '97', '143', '285', '346', '432', '515', '600']
['604', '698', '703', '789', '893', '960', '964', '2']
['4', '50', '51', '212', '281', '359', '572', '576', '601', '615']
['622', '715', '727', '840', '843', '889', '915', '990', '3']
['15', '158', '349', '594', '633']
['676', '678', '796', '4']
['167', '190', '312', '463']
['627', '721', '750', '5']
['132', '193', '300', '328', '330', '578', '588']
['648', '675', '797', '854', '954', '959', '6']
['24', '201', '339', '346', '475', '481']
['702', '791', '820', '901', '940', '7']
['189', '240', '272', '288', '437', '551', '597']
['602', '625', '711', '757', '879', '887', '8']
['95', '173', '304', '426', '496', '507']
['508', '581', '712', '775', '920', '9']
['156', '233', '258', '410', '457', '497', '537', '638']
['673', '868', '875', '877', '925', '992', '10']
['62', '68', '228', '251', '264', '289', '377', '517', '555']
['750', '777', '804', '806', '895', '917', '971', '972', '11']
['91', '305', '344', '351', '352', '401', '420', '592']
['639', '748', '777', '832', '865', '948', '951', '12']
['136', '144', '153', '295', '351', '429']
['490', '600', '604', '799', '812', '13']
['233', '335', '374', '382', '410', '486', '511']
['543', '587', '626', '630', '695', '724', '14']
