40
20
['358', '61', '525', '738', '522', '666', '597', '694', '545', '162', '121', '432', '708', '618', '639', '82', '20', '221', '199', '347']
['195', '61', '509', '616', '694', '545', '162', '686', '14', '339', '332', '639', '262', '650', '82', '288', '23', '537', '221', '34']
['93', '509', '767', '25', '764', '666', '83', '180', '597', '694', '162', '686', '723', '639', '262', '82', '20', '537', '607', '34']
['391', '546', '358', '61', '593', '738', '25', '616', '764', '522', '180', '545', '686', '14', '618', '339', '262', '96', '683', '537']
['391', '525', '509', '83', '162', '463', '432', '708', '639', '650', '707', '96', '288', '20', '221', '678', '265', '248', '487', '244']
['25', '740', '576', '694', '545', '162', '686', '708', '262', '537', '199', '34', '265', '239', '775', '347', '220', '647', '479', '433']
['125', '546', '593', '767', '764', '597', '545', '686', '14', '723', '339', '262', '650', '288', '678', '347', '248', '487', '361', '379']
['393', '391', '546', '525', '25', '616', '576', '666', '121', '723', '708', '618', '339', '82', '96', '221', '678', '34', '347', '487']
['593', '738', '509', '764', '576', '522', '666', '83', '180', '694', '162', '463', '432', '14', '332', '639', '707', '96', '537', '221']
['417', '391', '546', '509', '767', '764', '522', '666', '180', '597', '162', '463', '432', '708', '618', '332', '262', '96', '683', '537']
['391', '546', '61', '593', '25', '616', '740', '666', '694', '162', '463', '432', '14', '618', '262', '650', '82', '96', '288', '23']
['63', '546', '509', '25', '616', '764', '522', '597', '694', '686', '14', '708', '639', '82', '707', '96', '683', '20', '537', '221']
['546', '358', '61', '525', '509', '576', '180', '463', '686', '618', '339', '639', '82', '683', '20', '537', '199', '34', '265', '599']
['546', '358', '738', '767', '764', '576', '597', '121', '432', '618', '332', '262', '650', '288', '537', '607', '265', '775', '599', '797']
['201', '131', '61', '593', '525', '738', '25', '764', '694', '463', '14', '723', '339', '332', '650', '707', '23', '20', '537', '265']
['484', '391', '546', '358', '525', '767', '25', '764', '83', '180', '597', '545', '463', '432', '14', '723', '639', '262', '82', '96']
['391', '546', '61', '593', '525', '764', '740', '522', '666', '83', '180', '339', '332', '650', '96', '221', '607', '678', '775', '670']
['391', '738', '509', '767', '616', '740', '576', '522', '666', '83', '180', '463', '686', '121', '432', '14', '708', '332', '262', '82']
['391', '546', '593', '738', '509', '767', '25', '740', '180', '597', '545', '162', '121', '432', '14', '708', '339', '262', '650', '82']
['771', '240', '358', '61', '509', '767', '576', '83', '180', '694', '162', '463', '121', '432', '708', '618', '339', '332', '639', '650']
['115', '600', '391', '546', '358', '593', '525', '25', '764', '522', '666', '83', '694', '162', '121', '14', '708', '618', '339', '639']
['391', '546', '358', '61', '738', '767', '616', '764', '180', '694', '162', '723', '639', '650', '707', '288', '20', '678', '265', '239']
['358', '738', '509', '25', '616', '740', '522', '83', '180', '597', '694', '162', '463', '432', '332', '650', '96', '683', '20', '537']
['61', '25', '764', '576', '83', '180', '545', '686', '121', '618', '639', '262', '707', '288', '23', '683', '607', '199', '347', '599']
['593', '525', '616', '740', '522', '666', '83', '597', '162', '686', '723', '339', '639', '650', '23', '683', '221', '678', '34', '599']
['141', '593', '525', '509', '767', '740', '522', '597', '694', '545', '432', '339', '262', '707', '20', '537', '199', '775', '347', '248']
['391', '546', '61', '593', '25', '764', '576', '666', '121', '723', '708', '618', '339', '82', '96', '537', '221', '607', '199', '34']
['592', '749', '61', '738', '25', '576', '162', '686', '121', '723', '708', '618', '332', '650', '82', '707', '683', '20', '221', '607']
['546', '358', '525', '616', '764', '740', '694', '686', '121', '723', '708', '618', '639', '650', '288', '23', '683', '239', '347', '797']
['358', '61', '25', '576', '522', '666', '83', '180', '694', '545', '162', '121', '332', '262', '707', '607', '678', '265', '239', '347']
['104', '391', '738', '25', '616', '686', '723', '618', '262', '96', '288', '20', '221', '199', '34', '265', '239', '775', '599', '248']
['84', '738', '509', '616', '764', '576', '83', '694', '545', '121', '339', '332', '707', '683', '537', '607', '265', '775', '347', '670']
['685', '576', '83', '597', '694', '162', '686', '121', '14', '723', '618', '339', '82', '707', '288', '20', '607', '199', '265', '775']
['398', '42', '391', '546', '61', '597', '463', '121', '723', '708', '339', '639', '650', '683', '20', '537', '607', '678', '34', '265']
['162', '593', '509', '767', '25', '616', '764', '522', '180', '545', '463', '723', '708', '339', '639', '650', '707', '96', '20', '678']
['391', '546', '593', '525', '767', '25', '740', '597', '545', '162', '463', '686', '339', '639', '262', '707', '96', '288', '20', '537']
['358', '593', '767', '25', '764', '576', '180', '597', '162', '723', '618', '639', '82', '707', '683', '20', '221', '607', '797', '361']
['376', '295', '221', '391', '546', '358', '593', '522', '666', '723', '332', '262', '683', '537', '678', '265', '599', '670', '614', '676']
['126', '593', '525', '25', '740', '666', '162', '121', '14', '618', '339', '639', '23', '265', '248', '487', '244', '670', '504', '647']
['527', '272', '546', '525', '25', '83', '694', '162', '14', '708', '650', '82', '707', '96', '23', '20', '537', '221', '239', '347']
['593', '525', '738', '509', '767', '616', '740', '576', '522', '83', '121', '332', '262', '82', '707', '23', '607', '678', '199', '239']
['252', '391', '546', '61', '767', '764', '522', '666', '83', '180', '686', '121', '14', '708', '618', '339', '332', '262', '650', '683']
['760', '525', '509', '767', '616', '764', '666', '180', '597', '694', '545', '121', '432', '14', '708', '618', '262', '607', '347', '487']
['61', '525', '738', '509', '522', '180', '545', '686', '121', '14', '708', '618', '339', '332', '639', '707', '96', '23', '20', '607']
['391', '593', '525', '738', '767', '616', '764', '522', '666', '83', '694', '162', '14', '339', '639', '650', '82', '683', '607', '599']
['391', '61', '767', '25', '740', '180', '597', '694', '463', '686', '432', '14', '723', '708', '332', '537', '678', '199', '239', '347']
['633', '546', '593', '738', '25', '740', '576', '180', '686', '432', '723', '618', '332', '639', '96', '683', '607', '678', '248', '487']
['61', '740', '576', '83', '180', '597', '162', '432', '708', '618', '332', '82', '683', '537', '221', '199', '265', '347', '647', '706']
['525', '509', '764', '576', '666', '180', '597', '545', '14', '723', '339', '332', '262', '650', '96', '23', '607', '34', '775', '797']
