3
200
['96', '0']
['371', '1']
['0', '467']
['294', '1']
['303', '1']
['19', '3']
['1', '69']
['87', '0']
['0', '65']
['0', '134']
['116', '1']
['239', '2']
['364', '0']
['284', '3']
['370', '0']
['130', '3']
['1', '16']
['2', '315']
['2', '146']
['1', '274']
['450', '0']
['1', '88']
['112', '3']
['2', '234']
['473', '1']
['2', '477']
['307', '3']
['2', '27']
['279', '0']
['46', '0']
['0', '382']
['1', '126']
['0', '210']
['2', '17']
['242', '0']
['207', '1']
['6', '4']
['416', '2']
['168', '0']
['205', '2']
['64', '3']
['180', '2']
['147', '3']
['3', '227']
['2', '290']
['2', '332']
['176', '3']
['9', '0']
['2', '322']
['454', '0']
['1', '173']
['329', '1']
['491', '0']
['482', '1']
['34', '2']
['437', '0']
['2', '108']
['2', '387']
['0', '371']
['0', '345']
['0', '264']
['378', '1']
['0', '56']
['307', '1']
['1', '110']
['3', '116']
['314', '2']
['1', '355']
['225', '0']
['1', '40']
['205', '3']
['1', '340']
['0', '421']
['365', '1']
['1', '466']
['1', '394']
['317', '3']
['0', '21']
['160', '3']
['1', '15']
['3', '326']
['2', '196']
['2', '381']
['498', '3']
['1', '379']
['1', '132']
['149', '2']
['1', '486']
['1', '65']
['78', '0']
['3', '258']
['2', '100']
['0', '350']
['202', '3']
['3', '478']
['1', '348']
['2', '48']
['1', '79']
['1', '342']
['1', '175']
['7', '5']
['377', '3']
['0', '358']
['3', '144']
['157', '0']
['119', '3']
['90', '3']
['356', '2']
['2', '417']
['0', '254']
['104', '1']
['386', '1']
['67', '2']
['45', '0']
['1', '163']
['98', '2']
['3', '385']
['1', '444']
['1', '271']
['1', '68']
['2', '310']
['0', '331']
['0', '305']
['457', '1']
['18', '2']
['406', '2']
['1', '364']
['1', '463']
['262', '2']
['3', '87']
['207', '3']
['127', '3']
['195', '0']
['298', '0']
['283', '1']
['1', '22']
['395', '3']
['1', '190']
['3', '37']
['0', '388']
['3', '448']
['1', '462']
['29', '2']
['468', '3']
['347', '3']
['48', '0']
['425', '3']
['454', '3']
['342', '0']
['3', '322']
['0', '201']
['2', '247']
['176', '2']
['251', '2']
['382', '3']
['301', '0']
['2', '53']
['367', '3']
['361', '2']
['2', '324']
['432', '2']
['296', '1']
['149', '3']
['114', '0']
['2', '185']
['335', '1']
['173', '3']
['0', '179']
['302', '0']
['0', '112']
['0', '50']
['134', '2']
['0', '216']
['2', '298']
['419', '3']
['404', '3']
['139', '3']
['214', '2']
['362', '1']
['1', '256']
['391', '0']
['303', '2']
['251', '0']
['1', '243']
['1', '228']
['68', '3']
['1', '179']
['169', '0']
['3', '359']
['2', '266']
['142', '2']
['286', '0']
['173', '0']
['363', '2']
['3', '195']
['106', '3']
['0', '377']
['1', '21']
['270', '3']
['154', '2']
['1', '438']
['2', '382']
['136', '1']
['3', '137']
['469', '3']
['258', '0']
['2', '93']
['389', '1']
['36', '3']
['61', '2']
['334', '0']
['0', '139']
['0', '269']
['162', '3']
['0', '493']
['2', '170']
['0', '148']
['1', '310']
['0', '426']
['283', '0']
['0', '150']
['2', '472']
['167', '1']
['227', '2']
['3', '159']
['409', '0']
['3', '94']
['2', '302']
['55', '3']
['3', '66']
['114', '3']
['3', '342']
['480', '0']
['0', '186']
['233', '3']
['2', '328']
['2', '371']
['211', '1']
['3', '296']
['0', '257']
['344', '1']
['177', '3']
['398', '2']
['3', '128']
['3', '17']
['315', '0']
['84', '2']
['211', '3']
['351', '2']
['311', '1']
['37', '1']
['3', '40']
['476', '0']
['2', '7']
['0', '93']
['384', '1']
['1', '469']
['103', '2']
['3', '278']
['0', '428']
['397', '0']
['2', '202']
['185', '0']
['253', '0']
['2', '253']
['0', '102']
['2', '191']
['237', '2']
['3', '362']
['2', '174']
['2', '254']
['0', '12']
['407', '3']
['432', '1']
['387', '3']
['3', '368']
['1', '202']
['257', '3']
['115', '2']
['128', '0']
['1', '281']
['70', '0']
['186', '1']
['0', '109']
['417', '0']
['472', '0']
['2', '434']
['2', '481']
['466', '2']
['2', '307']
['4', '8']
['2', '140']
['459', '3']
['1', '300']
['229', '3']
['3', '49']
['184', '1']
['3', '212']
['120', '3']
['449', '3']
['1', '31']
['276', '1']
['0', '416']
['250', '0']
['2', '101']
['1', '33']
['3', '251']
['2', '78']
['3', '76']
['0', '422']
['0', '293']
['255', '2']
['277', '2']
['401', '3']
['32', '1']
['3', '247']
['493', '2']
['3', '376']
['0', '66']
['281', '2']
['1', '192']
['306', '0']
['183', '3']
['3', '80']
['3', '305']
['1', '268']
['460', '3']
['302', '1']
['1', '76']
['3', '349']
['2', '120']
['168', '2']
['233', '0']
['2', '343']
['1', '458']
['3', '441']
['38', '1']
['306', '1']
['3', '283']
['265', '0']
['1', '172']
['2', '26']
['0', '492']
['3', '235']
['2', '331']
['3', '199']
['127', '1']
['6', '2']
['0', '295']
['3', '52']
['0', '341']
['3', '71']
['2', '0', '1', '3']
['2', '118']
['31', '2']
['3', '59']
['481', '3']
['352', '1']
['63', '3']
['0', '182']
['3', '11']
['3', '102']
['81', '3']
['1', '290']
['1', '324']
['51', '1']
['190', '2']
['125', '2']
['451', '3']
['8', '0']
['3', '97']
['0', '267']
['3', '191']
['408', '2']
['3', '413']
['410', '0']
['383', '0']
['1', '107']
['360', '1']
['40', '2']
['1', '330']
['1', '216']
['3', '276']
['248', '0']
['3', '256']
['0', '473']
['194', '3']
['0', '145']
['1', '255']
['1', '111']
['201', '2']
['2', '172']
['2', '300']
['35', '3']
['464', '3']
['74', '2']
['1', '483']
['1', '246']
['447', '3']
['3', '56']
['188', '0']
['33', '2']
['2', '410']
['348', '0']
['310', '3']
['2', '287']
['316', '2']
['0', '156']
['1', '480']
['283', '2']
['97', '2']
['437', '3']
['3', '42']
