200
800
['34', '574', '148', '372', '909']
['356', '178', '466', '957', '673', '115', '446', '547', '421', '49', '663', '928', '577', '315', '627', '479', '449', '802', '674', '176']
['249', '177', '819', '755', '412', '954', '551', '985', '953', '382', '313', '124', '84', '479', '607', '286', '501', '873', '145', '80']
['926', '111', '173', '292', '678', '450', '969', '19', '602', '354', '689', '141', '470', '255', '875', '552', '17', '428', '710', '904']
['397', '453', '323', '789', '262', '458', '27', '270', '313', '747', '192', '993', '481', '785', '699', '369', '214', '25', '885', '114']
['618', '805', '575', '699', '227', '526', '522', '634', '977', '21', '32', '473', '629', '810', '834', '445', '536', '638', '402', '114']
['422', '332', '691', '982', '571', '136', '592', '551', '868', '267', '320', '709', '858', '225', '832', '849', '965', '539', '366', '880']
['335', '329', '115', '651', '14', '149', '905', '340', '671', '950', '165', '722', '60', '169', '850', '956', '634', '983', '922', '690']
['92', '282', '446', '13', '477', '262', '281', '158', '777', '892', '308', '268', '374', '648', '116', '299', '572', '412', '967', '187']
['897', '326', '128', '826', '52', '910', '641', '66', '207', '896', '624', '745', '698', '802', '253', '279', '368', '822', '67', '514']
['466', '959', '734', '855', '799', '943', '467', '835', '530', '681', '737', '63', '967', '521', '254', '570', '169', '834', '157', '980']
['573', '484', '902', '257', '444', '939', '912', '350', '448', '623', '364', '723', '93', '465', '518', '169', '893', '726', '591', '799']
['217', '708', '715', '546', '685', '597', '34', '793', '230', '433', '176', '667', '881', '455', '962', '859', '307', '474', '794', '471']
['225', '58', '630', '102', '586', '700', '236', '581', '142', '458', '143', '861', '54', '936', '661', '563', '267', '376', '833', '677']
['57', '383', '267', '136', '189', '223', '405', '949', '457', '783', '82', '515', '658', '273', '594', '609', '724', '249', '296', '569']
['937', '165', '383', '525', '992', '380', '614', '579', '428', '168', '591', '615', '675', '375', '208', '514', '602', '80', '771', '372']
['945', '194', '844', '347', '466', '418', '518', '567', '386', '280', '556', '177', '252', '959', '140', '54', '549', '793', '898', '68']
['310', '696', '924', '627', '303', '492', '992', '186', '855', '382', '257', '656', '262', '902', '143', '728', '546', '409', '600', '247']
['760', '591', '775', '804', '704', '298', '195', '134', '666', '133', '406', '137', '203', '259', '190', '966', '231', '373', '892', '174']
['92', '397', '841', '733', '919', '489', '331', '880', '739', '147', '759', '654', '297', '718', '615', '125', '38', '350', '420', '582']
['220', '224', '681', '512', '236', '540', '355', '717', '790', '761', '490', '15', '918', '752', '275', '548', '371', '521', '617', '978']
['202', '359', '657', '921', '642', '837', '694', '752', '683', '520', '908', '471', '315', '302', '337', '328', '71', '103', '323', '173']
['854', '110', '418', '927', '167', '499', '957', '839', '692', '364', '774', '185', '993', '924', '702', '736', '360', '287', '846', '306']
['492', '716', '614', '552', '723', '786', '58', '309', '42', '71', '630', '245', '263', '997', '577', '922', '76', '747', '529', '517']
['660', '123', '286', '93', '120', '73', '186', '779', '916', '868', '43', '961', '61', '153', '622', '693', '402', '231', '968', '137']
['887', '78', '391', '752', '737', '219', '21', '908', '698', '967', '330', '263', '331', '814', '8', '707', '249', '299', '782', '664']
['956', '300', '481', '662', '413', '90', '2', '857', '911', '775', '564', '367', '527', '665', '466', '526', '848', '907', '245', '545']
['452', '532', '598', '649', '605', '806', '503', '697', '586', '424', '111', '462', '70', '679', '567', '934', '307', '871', '147', '251']
['538', '124', '245', '512', '989', '720', '435', '405', '277', '515', '311', '689', '875', '602', '104', '910', '666', '599', '715', '639']
['280', '109', '346', '919', '454', '177', '207', '74', '767', '695', '239', '92', '539', '521', '533', '809', '294', '496', '296', '216']
['854', '588', '109', '769', '459', '196', '687', '232', '95', '526', '329', '272', '781', '611', '381', '738', '284', '986', '374', '602']
['182', '593', '571', '705', '857', '618', '281', '887', '964', '680', '367', '203', '275', '754', '814', '184', '329', '507', '980', '943']
['844', '981', '7', '926', '186', '108', '302', '751', '672', '867', '149', '650', '827', '551', '716', '715', '809', '452', '220', '129']
['945', '91', '121', '66', '90', '785', '655', '626', '563', '333', '304', '777', '942', '961', '581', '837', '320', '111', '64', '913']
['960', '808', '764', '850', '654', '818', '490', '193', '466', '708', '801', '312', '186', '158', '958', '221', '95', '813', '245', '705']
['802', '360', '387', '690', '783', '335', '524', '702', '83', '247', '16', '556', '544', '698', '309', '721', '727', '228', '934', '584']
['488', '973', '68', '849', '370', '175', '997', '549', '580', '990', '696', '71', '613', '216', '725', '597', '82', '966', '314', '329']
['624', '800', '224', '27', '238', '191', '854', '603', '712', '976', '24', '831', '40', '190', '582', '66', '680', '945', '542', '947']
['808', '372', '341', '217', '30', '268', '734', '550', '818', '584', '522', '130', '236', '477', '586', '883', '849', '851', '903', '988']
['185', '402', '70', '165', '745', '832', '634', '969', '691', '213', '651', '200', '809', '69', '162', '531', '850', '681', '446', '696']
['233', '665', '170', '638', '141', '693', '429', '488', '308', '180', '582', '750', '704', '334', '444', '204', '764', '683', '329', '406']
['200', '18', '842', '483', '88', '174', '257', '652', '971', '388', '9', '161', '663', '266', '41', '73', '826', '565', '318', '563']
['981', '15', '9', '22', '664', '731', '578', '625', '909', '474', '446', '972', '504', '575', '7', '486', '388', '729', '392', '141']
['554', '941', '347', '807', '539', '562', '747', '383', '519', '280', '43', '474', '863', '944', '716', '964', '546', '917', '616', '756']
['565', '903', '336', '664', '692', '506', '429', '922', '498', '665', '730', '277', '296', '627', '888', '113', '171', '44', '298', '511']
['992', '377', '883', '466', '913', '257', '860', '935', '468', '32', '583', '60', '242', '940', '58', '181', '885', '519', '788', '892']
['803', '159', '873', '53', '199', '227', '495', '393', '599', '556', '972', '907', '90', '99', '566', '647', '751', '170', '663', '634']
['619', '348', '992', '111', '346', '462', '445', '857', '950', '493', '673', '969', '249', '399', '377', '641', '832', '670', '599', '170']
['110', '198', '657', '320', '469', '630', '3', '648', '209', '915', '668', '996', '82', '68', '470', '562', '826', '727', '833', '700']
['676', '226', '292', '98', '367', '678', '317', '171', '553', '29', '660', '143', '301', '913', '417', '850', '265', '181', '646', '278']
['301', '645', '935', '16', '994', '174', '816', '936', '746', '315', '257', '528', '969', '855', '854', '66', '374', '65', '501', '693']
['775', '317', '943', '807', '53', '801', '550', '885', '542', '223', '557', '6', '949', '936', '258', '334', '390', '49', '151', '160']
['958', '518', '442', '795', '763', '658', '84', '120', '753', '878', '65', '903', '365', '993', '451', '710', '555', '375', '256', '91']
['557', '713', '44', '522', '325', '257', '786', '74', '703', '220', '201', '383', '451', '216', '294', '868', '859', '550', '16', '258']
['711', '412', '613', '642', '550', '903', '755', '664', '963', '603', '498', '716', '616', '482', '189', '123', '636', '169', '696', '13']
['528', '207', '939', '709', '169', '729', '28', '643', '911', '376', '502', '73', '104', '247', '154', '499', '515', '755', '236', '949']
['4', '810', '270', '593', '542', '662', '196', '558', '43', '427', '147', '318', '655', '557', '990', '867', '789', '189', '52', '63']
['508', '132', '945', '874', '976', '298', '307', '661', '17', '871', '109', '498', '606', '87', '114', '325', '548', '500', '62', '374']
['367', '815', '412', '271', '437', '352', '854', '391', '957', '736', '678', '892', '578', '709', '840', '134', '295', '420', '772', '9']
['759', '77', '962', '429', '108', '863', '213', '457', '346', '203', '2', '551', '159', '447', '837', '515', '25', '311', '700', '865']
['183', '547', '314', '872', '327', '512', '803', '157', '846', '902', '277', '26', '602', '839', '76', '814', '12', '548', '384', '968']
['975', '488', '667', '929', '994', '995', '480', '395', '98', '560', '689', '723', '685', '23', '956', '790', '752', '567', '511', '76']
['454', '320', '532', '67', '340', '376', '237', '281', '83', '521', '404', '611', '307', '961', '882', '802', '51', '176', '905', '16']
['139', '216', '547', '346', '250', '337', '682', '838', '699', '362', '389', '130', '539', '380', '47', '663', '625', '322', '798', '796']
['371', '146', '550', '451', '615', '183', '662', '873', '917', '812', '885', '605', '28', '434', '369', '432', '657', '941', '319', '592']
['379', '451', '482', '508', '348', '789', '720', '924', '558', '573', '817', '60', '630', '191', '443', '97', '87', '162', '797', '901']
['103', '572', '24', '483', '136', '477', '262', '423', '871', '21', '301', '452', '961', '828', '291', '599', '627', '426', '892', '86']
['729', '355', '579', '344', '702', '54', '961', '239', '470', '998', '117', '599', '909', '586', '287', '809', '222', '513', '802', '5']
['696', '710', '465', '852', '295', '979', '984', '817', '322', '653', '345', '280', '616', '850', '519', '101', '1', '75', '230', '780']
['340', '937', '793', '940', '741', '115', '403', '717', '747', '543', '192', '794', '635', '560', '644', '986', '960', '288', '264', '438']
['313', '655', '602', '272', '849', '942', '133', '993', '521', '737', '386', '174', '843', '761', '686', '554', '703', '383', '294', '100']
['572', '700', '872', '687', '903', '462', '678', '41', '943', '859', '18', '844', '203', '520', '972', '491', '713', '439', '764', '370']
['992', '916', '586', '901', '385', '767', '724', '389', '94', '455', '75', '851', '391', '689', '784', '941', '436', '473', '50', '372']
['907', '559', '625', '797', '255', '1', '393', '148', '973', '544', '93', '905', '985', '285', '534', '578', '666', '43', '79', '835']
['521', '148', '985', '956', '8', '887', '780', '221', '75', '989', '495', '603', '437', '204', '368', '372', '979', '98', '836', '330']
['602', '835', '597', '531', '350', '762', '614', '62', '312', '127', '494', '988', '674', '413', '453', '245', '254', '191', '175', '616']
['920', '610', '21', '435', '307', '683', '151', '897', '309', '8', '805', '626', '696', '259', '693', '73', '451', '752', '514', '257']
['617', '211', '136', '197', '564', '260', '688', '166', '87', '927', '806', '840', '546', '970', '281', '622', '726', '584', '345', '903']
['612', '167', '184', '479', '90', '414', '950', '748', '233', '495', '223', '534', '103', '257', '511', '792', '860', '181', '738', '180']
['493', '53', '179', '949', '9', '57', '319', '389', '502', '994', '600', '527', '506', '88', '298', '33', '449', '372', '556', '699']
['711', '639', '718', '615', '607', '375', '526', '850', '100', '513', '521', '416', '442', '231', '162', '310', '755', '82', '90', '116']
['454', '488', '275', '787', '340', '127', '764', '227', '259', '328', '232', '73', '29', '846', '990', '92', '901', '322', '659', '715']
['907', '409', '923', '502', '704', '217', '870', '104', '653', '956', '699', '30', '900', '359', '583', '304', '832', '718', '405', '532']
['390', '925', '52', '658', '493', '779', '343', '597', '545', '504', '69', '282', '369', '602', '760', '336', '996', '5', '583', '674']
['951', '312', '263', '657', '259', '792', '618', '839', '873', '970', '265', '543', '966', '969', '0', '272', '55', '345', '362', '802']
['813', '629', '728', '49', '688', '680', '104', '842', '234', '833', '167', '70', '490', '593', '787', '261', '777', '600', '902', '645']
['316', '633', '422', '774', '628', '876', '473', '117', '872', '394', '201', '683', '568', '888', '976', '66', '213', '173', '838', '629']
['456', '686', '684', '162', '534', '581', '28', '575', '230', '505', '666', '112', '269', '956', '744', '501', '685', '579', '688', '559']
['864', '846', '141', '222', '293', '527', '642', '107', '466', '828', '45', '60', '336', '389', '809', '797', '904', '985', '323', '945']
