31
31
['0', '1']
['0', '2']
['0', '3']
['0', '4']
['0', '5']
['0', '6']
['0', '7']
['0', '8']
['0', '9']
['0', '10']
['0', '11']
['0', '12']
['0', '13']
['0', '14']
['0', '15']
['0', '16']
['0', '17']
['0', '18']
['0', '19']
['0', '20']
['0', '21']
['0', '22']
['0', '23']
['0', '24']
['0', '25']
['0', '26']
['0', '27']
['0', '28']
['0', '29']
['0', '30']
['31', '32', '1']
['32', '33', '1']
['33', '34', '1']
['34', '35', '1']
['35', '36', '1']
['36', '37', '1']
['37', '38', '1']
['38', '39', '1']
['39', '40', '1']
['40', '41', '1']
['41', '42', '1']
['42', '43', '1']
['43', '44', '1']
['44', '45', '1']
['45', '46', '1']
['46', '47', '1']
['47', '48', '1']
['48', '49', '1']
['49', '50', '1']
['50', '51', '1']
['51', '52', '1']
['52', '53', '1']
['53', '54', '1']
['54', '55', '1']
['55', '56', '1']
['56', '57', '1']
['57', '58', '1']
['58', '59', '1']
['59', '60', '1']
['60', '61', '1']
['62', '63', '2']
['63', '64', '2']
['64', '65', '2']
['65', '66', '2']
['66', '67', '2']
['67', '68', '2']
['68', '69', '2']
['69', '70', '2']
['70', '71', '2']
['71', '72', '2']
['72', '73', '2']
['73', '74', '2']
['74', '75', '2']
['75', '76', '2']
['76', '77', '2']
['77', '78', '2']
['78', '79', '2']
['79', '80', '2']
['80', '81', '2']
['81', '82', '2']
['82', '83', '2']
['83', '84', '2']
['84', '85', '2']
['85', '86', '2']
['86', '87', '2']
['87', '88', '2']
['88', '89', '2']
['89', '90', '2']
['90', '91', '2']
['91', '92', '2']
['93', '94', '3']
['94', '95', '3']
['95', '96', '3']
['96', '97', '3']
['97', '98', '3']
['98', '99', '3']
['99', '100', '3']
['100', '101', '3']
['101', '102', '3']
['102', '103', '3']
['103', '104', '3']
['104', '105', '3']
['105', '106', '3']
['106', '107', '3']
['107', '108', '3']
['108', '109', '3']
['109', '110', '3']
['110', '111', '3']
['111', '112', '3']
['112', '113', '3']
['113', '114', '3']
['114', '115', '3']
['115', '116', '3']
['116', '117', '3']
['117', '118', '3']
['118', '119', '3']
['119', '120', '3']
['120', '121', '3']
['121', '122', '3']
['122', '123', '3']
['124', '125', '4']
['125', '126', '4']
['126', '127', '4']
['127', '128', '4']
['128', '129', '4']
['129', '130', '4']
['130', '131', '4']
['131', '132', '4']
['132', '133', '4']
['133', '134', '4']
['134', '135', '4']
['135', '136', '4']
['136', '137', '4']
['137', '138', '4']
['138', '139', '4']
['139', '140', '4']
['140', '141', '4']
['141', '142', '4']
['142', '143', '4']
['143', '144', '4']
['144', '145', '4']
['145', '146', '4']
['146', '147', '4']
['147', '148', '4']
['148', '149', '4']
['149', '150', '4']
['150', '151', '4']
['151', '152', '4']
['152', '153', '4']
['153', '154', '4']
['155', '156', '5']
['156', '157', '5']
['157', '158', '5']
['158', '159', '5']
['159', '160', '5']
['160', '161', '5']
['161', '162', '5']
['162', '163', '5']
['163', '164', '5']
['164', '165', '5']
['165', '166', '5']
['166', '167', '5']
['167', '168', '5']
['168', '169', '5']
['169', '170', '5']
['170', '171', '5']
['171', '172', '5']
['172', '173', '5']
['173', '174', '5']
['174', '175', '5']
['175', '176', '5']
['176', '177', '5']
['177', '178', '5']
['178', '179', '5']
['179', '180', '5']
['180', '181', '5']
['181', '182', '5']
['182', '183', '5']
['183', '184', '5']
['184', '185', '5']
['186', '187', '6']
['187', '188', '6']
['188', '189', '6']
['189', '190', '6']
['190', '191', '6']
['191', '192', '6']
['192', '193', '6']
['193', '194', '6']
['194', '195', '6']
['195', '196', '6']
['196', '197', '6']
['197', '198', '6']
['198', '199', '6']
['199', '200', '6']
['200', '201', '6']
['201', '202', '6']
['202', '203', '6']
['203', '204', '6']
['204', '205', '6']
['205', '206', '6']
['206', '207', '6']
['207', '208', '6']
['208', '209', '6']
['209', '210', '6']
['210', '211', '6']
['211', '212', '6']
['212', '213', '6']
['213', '214', '6']
['214', '215', '6']
['215', '216', '6']
['217', '218', '7']
['218', '219', '7']
['219', '220', '7']
['220', '221', '7']
['221', '222', '7']
['222', '223', '7']
['223', '224', '7']
['224', '225', '7']
['225', '226', '7']
['226', '227', '7']
['227', '228', '7']
['228', '229', '7']
['229', '230', '7']
['230', '231', '7']
['231', '232', '7']
['232', '233', '7']
['233', '234', '7']
['234', '235', '7']
['235', '236', '7']
['236', '237', '7']
['237', '238', '7']
['238', '239', '7']
['239', '240', '7']
['240', '241', '7']
['241', '242', '7']
['242', '243', '7']
['243', '244', '7']
['244', '245', '7']
['245', '246', '7']
['246', '247', '7']
['248', '249', '8']
['249', '250', '8']
['250', '251', '8']
['251', '252', '8']
['252', '253', '8']
['253', '254', '8']
['254', '255', '8']
['255', '256', '8']
['256', '257', '8']
['257', '258', '8']
