70
15
['367', '178', '476', '108', '762', '84', '11', '771', '947', '768', '740', '447', '477', '721', '966', '217', '326', '528', '181', '559', '518', '992', '517', '465', '24']
['24', '222', '785', '639', '763', '303', '779', '175', '816', '387', '50', '846', '871', '88', '922', '501', '997', '59', '73', '43', '294', '396', '668', '160', '213']
['213', '163', '401', '542', '636', '674', '791', '857', '733', '713', '356', '281', '287', '492', '941', '19', '868', '689', '312', '894', '700', '289', '536', '132', '601']
['601', '291', '709', '47', '227', '216', '86', '549', '827', '861', '71', '917', '902', '596', '657', '799', '209', '290', '849', '505', '641', '412', '915', '829', '744']
['744', '610', '557', '585', '479', '584', '813', '792', '715', '759', '103', '66', '882', '106', '993', '225', '316', '798', '353', '236', '315', '581', '783', '159', '688']
['688', '241', '394', '720', '68', '507', '667', '751', '174', '760', '546', '930', '403', '724', '123', '16', '425', '859', '934', '544', '943', '336', '211', '656', '109']
['109', '273', '41', '831', '613', '26', '254', '120', '977', '413', '329', '677', '309', '105', '14', '990', '743', '645', '554', '92', '850', '945', '323', '530', '187']
['673', '157', '996', '472', '124', '146', '758', '121', '264', '637', '349', '623', '867', '232', '373', '523', '891', '350', '878', '195', '734', '599', '883', '54', '865']
['865', '588', '975', '334', '776', '143', '808', '905', '461', '749', '252', '767', '415', '221', '795', '404', '725', '898', '974', '936', '330', '223', '670', '422', '263']
['263', '579', '972', '3', '844', '923', '265', '665', '414', '875', '144', '712', '39', '774', '928', '355', '520', '487', '956', '406', '533', '410', '502', '392', '305']
['305', '458', '572', '57', '810', '699', '794', '504', '896', '565', '494', '83', '212', '971', '48', '384', '218', '658', '184', '513', '756', '870', '342', '921', '247']
['247', '568', '112', '976', '359', '104', '299', '27', '522', '468', '618', '183', '837', '524', '243', '113', '366', '93', '438', '814', '295', '591', '804', '954', '304']
['304', '818', '662', '374', '655', '676', '920', '562', '848', '97', '927', '604', '888', '7', '728', '830', '363', '357', '811', '285', '253', '269', '1', '424', '967']
['967', '127', '948', '23', '580', '569', '809', '594', '361', '150', '683', '277', '729', '169', '224', '690', '625', '101', '360', '204', '607', '855', '36', '828', '526']
['322', '516', '761', '335', '561', '991', '708', '800', '463', '134', '320', '170', '74', '719', '925', '909', '100', '411', '233', '558', '314', '371', '535', '786', '234']
['234', '378', '245', '899', '321', '115', '988', '612', '125', '453', '704', '81', '884', '179', '110', '766', '803', '881', '426', '445', '44', '872', '391', '563', '400']
['400', '778', '873', '258', '950', '598', '958', '801', '308', '510', '56', '21', '67', '133', '701', '408', '339', '332', '629', '444', '199', '302', '364', '430', '903']
['903', '452', '547', '471', '748', '521', '268', '615', '25', '843', '266', '664', '428', '467', '466', '793', '64', '210', '194', '741', '45', '328', '606', '118', '545']
['545', '317', '318', '208', '42', '957', '156', '399', '531', '592', '185', '347', '437', '301', '681', '703', '136', '789', '826', '427', '345', '973', '469', '838', '942']
['942', '220', '987', '999', '485', '402', '155', '707', '726', '525', '627', '111', '180', '833', '459', '765', '782', '306', '946', '259', '276', '491', '575', '439', '620']
['620', '248', '986', '647', '919', '135', '235', '980', '89', '270', '474', '2', '995', '69', '682', '10', '926', '142', '352', '52', '446', '348', '823', '28', '231']
['300', '578', '605', '416', '230', '555', '61', '680', '609', '376', '754', '553', '117', '60', '483', '40', '887', '62', '666', '393', '137', '168', '152', '866', '278']
['278', '381', '556', '239', '139', '730', '543', '787', '9', '889', '659', '390', '333', '960', '395', '879', '4', '586', '574', '246', '324', '167', '429', '128', '577']
['577', '226', '895', '397', '582', '519', '154', '288', '188', '153', '538', '190', '732', '532', '358', '75', '131', '76', '654', '506', '475', '138', '560', '409', '116']
['116', '784', '79', '351', '443', '892', '53', '691', '753', '344', '177', '33', '548', '244', '653', '619', '255', '840', '32', '380', '454', '441', '484', '280', '286']
['286', '282', '820', '727', '34', '368', '292', '372', '939', '65', '593', '488', '283', '880', '853', '450', '807', '860', '890', '140', '652', '20', '710', '511', '951']
['951', '669', '962', '646', '632', '164', '85', '631', '130', '564', '718', '31', '644', '70', '473', '489', '982', '937', '107', '731', '938', '684', '643', '38', '147']
['147', '325', '621', '249', '640', '697', '148', '769', '770', '102', '237', '480', '77', '806', '906', '432', '15', '628', '275', '158', '968', '63', '858', '509', '918']
['876', '508', '874', '738', '145', '503', '490', '672', '486', '916', '908', '497', '626', '431', '420', '260', '933', '337', '835', '514', '262', '192', '931', '978', '912']
['912', '257', '126', '550', '981', '18', '176', '929', '739', '499', '462', '272', '696', '863', '196', '87', '418', '836', '722', '310', '482', '436', '529', '78', '940']
['940', '389', '851', '802', '457', '456', '686', '617', '910', '825', '251', '451', '98', '407', '764', '608', '433', '189', '55', '979', '695', '129', '296', '398', '540']
['540', '386', '383', '313', '633', '635', '687', '571', '340', '663', '17', '173', '796', '193', '12', '534', '935', '886', '854', '214', '611', '141', '228', '495', '388']
['388', '200', '736', '319', '274', '961', '622', '119', '203', '537', '694', '901', '512', '91', '122', '603', '365', '311', '440', '616', '250', '952', '648', '29', '515']
['515', '949', '913', '714', '660', '589', '527', '198', '852', '498', '369', '671', '847', '205', '924', '602', '46', '99', '298', '815', '650', '717', '201', '773', '969']
['969', '965', '455', '256', '964', '419', '819', '370', '95', '343', '434', '864', '90', '702', '624', '822', '989', '271', '746', '824', '716', '566', '576', '197', '96']
