30
40
['0', '1', '2']
['43', '3', '12', '36', '38']
['8', '0', '47', '38', '20']
['4', '5', '34', '48', '9']
['1', '5', '9', '34', '35']
['15', '17', '39', '12', '3']
['7', '10', '0', '31', '19']
['40', '27', '19', '22', '15']
['39', '48', '5', '32', '12']
['21', '19', '36', '23', '44']
['7', '31', '39', '6', '24']
['1', '27', '36', '38', '46']
['23', '5', '49', '41', '37']
['36', '3', '10', '12', '0']
['40', '32', '16', '41', '25']
['1', '24', '41', '40', '30']
['40', '19', '22', '1', '48']
['26', '45', '47', '46', '30']
['26', '36', '45', '47', '23']
['42', '41', '25', '23', '8']
['28', '29', '16', '19', '42']
['13', '24', '25', '10', '16']
['18', '32', '8', '41', '16']
['20', '0', '44', '40', '41']
['46', '38', '48', '30', '1']
['36', '7', '8', '1', '3']
['20', '15', '22', '35', '16']
['41', '27', '20', '1', '21']
['23', '11', '33', '42', '20']
['6', '3', '35', '18', '12']
['28', '9', '4', '38', '13']
['25', '20', '33', '21', '46']
['3', '5', '26', '7', '22']
['5', '8', '36', '32', '31']
['10', '27', '22', '18', '7']
['30', '35', '20', '9', '41']
['30', '2', '10', '34', '3']
['23', '26', '45', '1', '44']
['44', '48', '20', '49', '42']
['4', '10', '0', '36', '14']
['47', '0', '12', '30', '36']
['36', '41', '35', '44', '24']
['37', '29', '28', '47', '12']
['22', '36', '15', '44', '6']
['15', '46', '49', '30', '33']
['20', '2', '32', '34', '29']
['38', '13', '2', '42', '35']
['27', '46', '5', '41', '26']
['42', '43', '2', '36', '26']
['14', '43', '39', '35', '42']
['2', '4', '26', '14', '0']
['39', '4', '28', '17', '37']
['48', '49', '39', '26', '13']
['24', '41', '4', '46', '37']
['26', '8', '0', '2', '27']
['22', '33', '27', '47', '0']
['26', '3', '9', '42', '48']
['19', '38', '48', '15', '10']
['15', '33', '42', '41', '37']
['31', '44', '21', '16', '19']
['24', '38', '5', '3', '15']
['1', '25', '38', '34', '7']
['40', '35', '9', '5', '16']
['47', '24', '22', '8', '34']
['17', '40', '19', '34', '27']
['45', '32', '39', '16', '29']
['21', '14', '6', '3', '25']
['20', '39', '10', '23', '32']
['49', '41', '20', '3', '12']
['23', '6', '24', '48', '4']
['25', '46', '31', '18', '41']
['36', '4', '40', '1', '2']
['21', '8', '3', '31', '19']
['34', '32', '38', '4', '9']
['20', '40', '19', '3', '42']
['42', '35', '46', '25', '12']
['31', '1', '13', '17', '10']
['11', '10', '8', '29', '16']
['38', '9', '13', '25', '41']
['30', '44', '48', '24', '13']
['4', '0', '32', '13', '8']
['27', '22', '21', '41', '10']
['33', '18', '32', '4', '12']
['13', '15', '2', '1', '9']
['47', '16', '20', '33', '15']
['47', '9', '35', '26', '2']
['42', '32', '2', '13', '4']
['0', '22', '15', '18', '11']
['12', '8', '2', '46', '14']
['33', '39', '6', '9', '14']
['10', '46', '44', '28', '47']
['4', '24', '5', '10', '17']
['26', '27', '34', '49', '22']
['11', '27', '25', '42', '19']
['37', '4', '40', '23', '22']
['46', '30', '12', '37', '39']
['9', '18', '7', '31', '39']
['45', '11', '47', '24', '48']
['35', '14', '2', '7', '36']
['26', '47', '41', '37', '39']
['17', '48', '1', '4', '45']
['14', '39', '18', '9', '42']
['29', '41', '45', '10', '39']
['16', '23', '24', '0', '38']
['26', '48', '1', '12', '2']
['45', '33', '29', '2', '7']
['36', '13', '38', '27', '37']
['19', '20', '34', '45', '35']
['46', '18', '19', '2', '30']
['29', '23', '36', '35', '38']
['45', '49', '40', '46', '2']
['12', '15', '42', '44', '0']
['8', '43', '31', '11', '18']
['6', '34', '13', '47', '48']
['22', '14', '12', '19', '15']
['7', '2', '48', '20', '33']
['1', '34', '7', '48', '42']
['4', '34', '6', '20', '15']
['11', '36', '46', '23', '15']
['13', '24', '49', '35', '3']
['5', '1', '22', '4', '3']
['32', '40', '30', '10', '8']
['7', '39', '47', '20', '2']
['4', '13', '49', '9', '20']
['1', '7', '10', '21', '5']
['44', '4', '20', '46', '3']
['39', '25', '37', '11', '28']
['1', '38', '12', '17', '45']
['34', '1', '21', '40', '27']
['47', '5', '39', '28', '29']
['11', '41', '34', '42', '28']
['46', '17', '19', '22', '33']
['13', '17', '47', '10', '38']
['26', '16', '13', '28', '8']
['20', '15', '39', '43', '16']
['22', '39', '31', '2', '42']
['26', '5', '47', '16', '22']
['23', '30', '17', '1', '40']
['35', '10', '6', '3', '31']
['22', '41', '35', '15', '12']
['7', '12', '23', '5', '26']
['21', '18', '37', '13', '17']
['38', '10', '24', '25', '9']
['19', '16', '11', '23', '13']
['5', '11', '43', '3', '13']
['14', '23', '41', '5', '20']
