12
67
['49', '125', '144', '212', '309', '365', '441', '503', '533', '647', '691', '766']
['11', '72', '158', '216', '297', '380', '442', '469', '535', '801', '699', '774']
['2', '71', '166', '204', '273', '335', '436', '504', '528', '623', '700', '772']
['24', '106', '150', '201', '328', '372', '406', '489', '541', '615', '802', '727']
['39', '111', '184', '262', '292', '359', '424', '522', '536', '629', '702', '726']
['18', '123', '179', '255', '293', '386', '408', '486', '557', '618', '665', '735']
['45', '66', '187', '221', '319', '366', '445', '501', '589', '611', '687', '732']
['51', '96', '183', '223', '267', '332', '453', '507', '562', '652', '725', '745']
['21', '104', '189', '206', '271', '337', '407', '465', '559', '641', '722', '758']
['23', '76', '192', '252', '296', '379', '412', '464', '538', '634', '713', '777']
['46', '128', '139', '251', '306', '377', '440', '485', '588', '628', '719', '784']
['34', '91', '186', '234', '299', '353', '438', '481', '547', '655', '660', '743']
['0', '87', '132', '240', '270', '392', '425', '517', '531', '631', '706', '730']
['36', '112', '155', '260', '264', '797', '419', '482', '546', '612', '677', '781']
['9', '122', '175', '202', '298', '369', '430', '462', '580', '614', '712', '748']
['60', '67', '134', '211', '316', '339', '439', '514', '544', '656', '717', '778']
['5', '89', '174', '220', '323', '338', '431', '799', '573', '597', '704', '749']
['43', '92', '195', '239', '315', '336', '414', '526', '556', '613', '678', '790']
['40', '99', '142', '241', '307', '383', '452', '474', '549', '624', '664', '775']
['35', '129', '182', '226', '285', '334', '422', '499', '571', '637', '680', '752']
['61', '68', '176', '207', '272', '376', '459', '475', '548', '609', '707', '729']
['58', '75', '190', '261', '278', '363', '409', '488', '569', '640', '672', '783']
['6', '98', '172', '218', '312', '346', '398', '512', '574', '603', '708', '765']
['33', '118', '168', '254', '283', '341', '405', '476', '570', '644', '667', '803']
['59', '110', '161', '243', '326', '358', '435', '494', '563', '606', '705', '776']
['65', '127', '171', '256', '329', '355', '798', '521', '586', '651', '676', '767']
['10', '109', '162', '229', '301', '342', '437', '479', '543', '630', '682', '785']
['47', '108', '197', '209', '274', '340', '416', '500', '534', '617', '720', '760']
['41', '107', '191', '213', '277', '352', '450', '487', '581', '659', '689', '759']
['57', '94', '167', '248', '269', '381', '457', '497', '577', '638', '710', '742']
['50', '77', '169', '244', '318', '364', '411', '468', '584', '636', '694', '733']
['3', '97', '173', '235', '300', '344', '403', '467', '561', '620', '690', '771']
['52', '86', '152', '263', '327', '333', '434', '495', '593', '610', '698', '782']
['56', '101', '148', '233', '325', '348', '432', '525', '585', '650', '721', '773']
['32', '116', '164', '247', '796', '388', '401', '470', '566', '648', '674', '747']
['22', '79', '193', '231', '281', '349', '404', '515', '578', '602', '703', '744']
['37', '69', '137', '203', '314', '345', '433', '520', '553', '607', '679', '746']
['16', '103', '138', '253', '324', '357', '443', '492', '551', '598', '695', '734']
['55', '100', '180', '214', '265', '350', '427', '490', '550', '621', '715', '741']
['19', '117', '177', '257', '290', '385', '454', '463', '590', '626', '662', '787']
['8', '83', '159', '230', '284', '382', '446', '509', '555', '622', '685', '768']
['1', '131', '146', '242', '317', '368', '413', '483', '567', '633', '669', '736']
['12', '93', '147', '245', '302', '351', '402', '502', '530', '639', '663', '738']
['26', '113', '154', '227', '320', '393', '448', '478', '582', '608', '673', '763']
['30', '119', '794', '246', '279', '378', '423', '477', '537', '625', '671', '728']
['54', '121', '156', '219', '313', '331', '455', '527', '552', '643', '701', '756']
['15', '74', '149', '249', '308', '387', '417', '518', '542', '632', '688', '753']
['38', '90', '143', '199', '311', '371', '426', '511', '576', '645', '693', '788']
['31', '102', '181', '236', '288', '367', '444', '524', '572', '627', '684', '750']
['20', '130', '170', '200', '268', '394', '449', '513', '545', '646', '711', '770']
['53', '73', '141', '228', '295', '375', '451', '480', '529', '658', '724', '755']
['62', '85', '157', '225', '280', '374', '415', '498', '539', '600', '714', '764']
['28', '78', '145', '222', '282', '384', '396', '493', '583', '605', '675', '786']
['25', '88', '163', '232', '322', '389', '429', '491', '560', '616', '723', '757']
['42', '105', '196', '215', '289', '373', '400', '466', '575', '601', '683', '754']
['7', '81', '165', '795', '305', '391', '460', '472', '565', '657', '666', '769']
['13', '114', '135', '205', '287', '361', '418', '496', '540', '599', '661', '740']
['17', '70', '140', '208', '286', '330', '421', '510', '592', '635', '692', '751']
['4', '84', '185', '224', '304', '395', '461', '484', '587', '619', '696', '731']
['63', '126', '194', '238', '291', '390', '428', '506', '532', '604', '718', '789']
['44', '82', '160', '237', '294', '360', '397', '473', '554', '654', '668', '761']
['48', '80', '188', '259', '310', '370', '410', '516', '564', '594', '697', '791']
['14', '115', '153', '198', '321', '354', '456', '505', '579', '596', '670', '739']
['792', '124', '133', '250', '276', '343', '458', '508', '800', '653', '686', '780']
['27', '120', '151', '217', '275', '356', '399', '471', '591', '649', '709', '762']
['64', '95', '136', '210', '266', '347', '420', '519', '558', '595', '681', '737']
['29', '793', '178', '258', '303', '362', '447', '523', '568', '642', '716', '779']
