100
10
['223', '529', '260', '382', '275', '776', '23', '710', '593', '129']
['546', '375', '964', '286', '225', '935', '336', '462', '166', '730']
['607', '814', '708', '819', '984', '12', '421', '773', '94', '570']
['142', '659', '315', '831', '413', '147', '761', '171', '87', '979']
['415', '519', '122', '89', '796', '651', '943', '289', '243', '62']
['239', '929', '390', '450', '749', '262', '297', '637', '283', '534']
['702', '759', '588', '76', '468', '489', '919', '974', '303', '321']
['953', '879', '691', '332', '387', '666', '846', '224', '93', '141']
['619', '410', '542', '24', '842', '635', '514', '703', '434', '609']
['955', '905', '210', '536', '755', '563', '355', '139', '878', '83']
['882', '68', '858', '856', '611', '151', '199', '404', '793', '233']
['65', '707', '802', '304', '358', '451', '395', '993', '499', '872']
['1', '634', '63', '119', '862', '324', '204', '906', '32', '110']
['892', '600', '208', '995', '28', '652', '625', '323', '770', '30']
['231', '965', '314', '762', '506', '2', '911', '227', '86', '397']
['885', '528', '333', '880', '540', '655', '940', '589', '408', '768']
['206', '581', '764', '537', '234', '864', '453', '680', '592', '809']
['299', '503', '508', '374', '256', '999', '0', '218', '662', '263']
['472', '385', '571', '9', '636', '272', '956', '624', '631', '845']
['923', '573', '618', '502', '949', '752', '173', '213', '785', '848']
['498', '617', '972', '825', '834', '50', '437', '85', '67', '944']
['740', '977', '602', '164', '294', '629', '482', '698', '350', '191']
['177', '712', '927', '772', '125', '46', '685', '480', '822', '7']
['232', '370', '734', '158', '388', '724', '20', '320', '281', '326']
['727', '615', '753', '211', '21', '901', '981', '386', '674', '850']
['639', '720', '308', '331', '149', '134', '49', '921', '219', '152']
['201', '910', '75', '419', '884', '61', '645', '786', '36', '857']
['606', '392', '791', '113', '364', '952', '983', '475', '81', '950']
['871', '343', '266', '280', '484', '74', '575', '646', '424', '316']
['695', '792', '179', '789', '376', '741', '700', '865', '52', '907']
['711', '585', '931', '4', '221', '128', '572', '409', '249', '64']
['990', '926', '77', '373', '430', '6', '274', '568', '169', '381']
['774', '182', '464', '175', '130', '342', '538', '363', '284', '723']
['962', '826', '170', '747', '55', '517', '96', '692', '8', '811']
['285', '833', '181', '405', '106', '322', '616', '930', '997', '403']
['277', '16', '590', '650', '623', '393', '827', '717', '400', '936']
['372', '420', '352', '532', '521', '187', '804', '883', '516', '828']
['996', '92', '431', '99', '19', '738', '325', '380', '441', '886']
['557', '126', '673', '279', '861', '200', '958', '287', '627', '448']
['569', '904', '351', '778', '140', '427', '80', '987', '873', '258']
['460', '109', '839', '339', '722', '253', '220', '467', '161', '794']
['642', '584', '853', '245', '544', '555', '664', '805', '548', '644']
['922', '782', '815', '423', '53', '854', '808', '574', '725', '613']
['436', '487', '697', '107', '781', '447', '465', '438', '729', '745']
['432', '595', '709', '973', '116', '799', '45', '667', '895', '157']
['414', '473', '13', '567', '986', '44', '737', '939', '329', '209']
['428', '90', '564', '237', '458', '215', '148', '25', '271', '726']
['495', '978', '15', '97', '810', '101', '123', '194', '902', '41']
['115', '10', '401', '938', '843', '459', '988', '890', '454', '657']
['693', '291', '835', '38', '356', '909', '176', '756', '108', '172']
['565', '844', '743', '307', '591', '226', '866', '270', '348', '162']
['490', '155', '264', '136', '402', '228', '513', '933', '477', '937']
['174', '622', '193', '898', '859', '800', '278', '510', '240', '78']
['596', '471', '677', '238', '896', '14', '43', '426', '823', '594']
['539', '29', '704', '690', '335', '168', '661', '963', '48', '310']
['807', '483', '669', '913', '267', '66', '924', '104', '604', '241']
['868', '731', '551', '349', '660', '541', '478', '599', '22', '626']
['681', '163', '34', '33', '518', '345', '416', '684', '951', '900']
['124', '748', '165', '566', '446', '967', '597', '493', '57', '932']
['367', '903', '476', '70', '190', '273', '378', '399', '365', '580']
['486', '821', '135', '71', '302', '658', '687', '576', '813', '679']
['918', '250', '466', '311', '251', '248', '184', '496', '688', '82']
['908', '282', '877', '942', '803', '481', '946', '202', '928', '663']
['812', '543', '947', '377', '817', '735', '559', '131', '341', '150']
['216', '259', '948', '361', '556', '26', '288', '425', '701', '178']
['59', '296', '533', '491', '469', '494', '418', '305', '520', '578']
['934', '505', '672', '560', '721', '605', '3', '527', '860', '429']
['35', '407', '153', '696', '507', '889', '470', '319', '214', '394']
['396', '439', '236', '998', '649', '118', '562', '841', '621', '598']
['614', '512', '337', '230', '488', '982', '313', '222', '633', '837']
['254', '88', '852', '485', '736', '146', '732', '31', '840', '941']
['105', '820', '653', '205', '306', '138', '188', '56', '758', '847']
['713', '647', '144', '340', '195', '783', '524', '383', '443', '991']
['60', '133', '95', '832', '522', '777', '186', '957', '945', '497']
['849', '678', '207', '362', '881', '422', '603', '112', '269', '838']
['954', '79', '670', '500', '369', '100', '398', '969', '300', '203']
['379', '474', '867', '583', '412', '292', '301', '775', '525', '887']
['185', '970', '705', '530', '391', '686', '665', '509', '160', '960']
['801', '959', '384', '561', '577', '84', '180', '156', '874', '334']
['143', '330', '5', '359', '360', '69', '145', '558', '780', '586']
['435', '457', '587', '739', '549', '638', '27', '389', '671', '346']
['242', '706', '891', '526', '855', '547', '417', '344', '968', '440']
['98', '103', '899', '641', '608', '293', '765', '276', '433', '312']
['676', '102', '347', '985', '531', '682', '479', '640', '72', '719']
['137', '888', '824', '455', '212', '870', '51', '744', '327', '771']
['829', '553', '197', '612', '42', '914', '183', '411', '728', '760']
['554', '58', '247', '975', '449', '368', '265', '257', '790', '643']
['371', '461', '54', '767', '694', '656', '192', '779', '601', '229']
['127', '632', '675', '189', '610', '582', '851', '552', '452', '11']
['132', '757', '746', '198', '37', '39', '114', '40', '579', '167']
['338', '73', '699', '501', '766', '353', '751', '992', '715', '915']
['18', '648', '117', '511', '317', '654', '798', '718', '111', '763']
['925', '912', '917', '716', '893', '628', '980', '309', '406', '714']
['795', '295', '492', '869', '797', '620', '668', '742', '120', '876']
['444', '784', '463', '630', '235', '515', '733', '17', '788', '252']
['121', '504', '836', '863', '196', '989', '916', '769', '268', '442']
['298', '456', '445', '750', '818', '897', '255', '806', '328', '261']
['920', '47', '290', '787', '366', '894', '966', '154', '971', '357']
['318', '545', '961', '994', '159', '830', '217', '535', '91', '550']
['244', '354', '816', '523', '683', '875', '754', '246', '689', '976']
