36
15
['2', '4', '6', '8']
['16', '18', '20', '22']
['30', '32', '34', '36']
['44', '46', '48', '50']
['58', '60', '62', '64']
['72', '74', '76', '78']
['86', '88', '90', '92']
['100', '102', '104', '106']
['114', '116', '118', '120']
['128', '130', '132', '134']
['142', '144', '146', '148']
['156', '158', '160', '162']
['170', '172', '174', '176']
['184', '186', '188', '190']
['198', '200', '202', '204']
['212', '214', '216', '218']
['226', '228', '230', '232']
['240', '242', '244', '246']
['254', '256', '258', '260']
['268', '270', '272', '274']
['282', '284', '286', '288']
['296', '298', '300', '302']
['310', '312', '314', '316']
['324', '326', '328', '330']
['338', '340', '342', '344']
['352', '354', '356', '358']
['366', '368', '370', '372']
['380', '382', '384', '386']
['394', '396', '398', '400']
['408', '410', '412', '414']
['422', '424', '426', '428']
['436', '438', '440', '442']
['450', '452', '454', '456']
['464', '466', '468', '470']
['478', '480', '482', '484']
['492', '494', '496', '498']
['1', '15', '29', '43', '57', '71', '85', '99', '113', '127', '141', '155']
['2', '16', '30', '44', '58', '72', '86', '100', '114', '128', '142', '156']
['3', '17', '31', '45', '59', '73', '87', '101', '115', '129', '143', '157']
['4', '18', '32', '46', '60', '74', '88', '102', '116', '130', '144', '158']
['5', '19', '33', '47', '61', '75', '89', '103', '117', '131', '145', '159']
['6', '20', '34', '48', '62', '76', '90', '104', '118', '132', '146', '160']
['7', '21', '35', '49', '63', '77', '91', '105', '119', '133', '147', '161']
['8', '22', '36', '50', '64', '78', '92', '106', '120', '134', '148', '162']
['9', '23', '37', '51', '65', '79', '93', '107', '121', '135', '149', '163']
['10', '24', '38', '52', '66', '80', '94', '108', '122', '136', '150', '164']
['11', '25', '39', '53', '67', '81', '95', '109', '123', '137', '151', '165']
['12', '26', '40', '54', '68', '82', '96', '110', '124', '138', '152', '166']
['13', '27', '41', '55', '69', '83', '97', '111', '125', '139', '153', '167']
['169', '183', '197', '211', '225', '239', '253', '267', '281', '295', '309', '323']
['170', '184', '198', '212', '226', '240', '254', '268', '282', '296', '310', '324']
['171', '185', '199', '213', '227', '241', '255', '269', '283', '297', '311', '325']
['172', '186', '200', '214', '228', '242', '256', '270', '284', '298', '312', '326']
['173', '187', '201', '215', '229', '243', '257', '271', '285', '299', '313', '327']
['174', '188', '202', '216', '230', '244', '258', '272', '286', '300', '314', '328']
['175', '189', '203', '217', '231', '245', '259', '273', '287', '301', '315', '329']
['176', '190', '204', '218', '232', '246', '260', '274', '288', '302', '316', '330']
['177', '191', '205', '219', '233', '247', '261', '275', '289', '303', '317', '331']
['178', '192', '206', '220', '234', '248', '262', '276', '290', '304', '318', '332']
['179', '193', '207', '221', '235', '249', '263', '277', '291', '305', '319', '333']
['180', '194', '208', '222', '236', '250', '264', '278', '292', '306', '320', '334']
['181', '195', '209', '223', '237', '251', '265', '279', '293', '307', '321', '335']
['337', '351', '365', '379', '393', '407', '421', '435', '449', '463', '477', '491']
['338', '352', '366', '380', '394', '408', '422', '436', '450', '464', '478', '492']
['339', '353', '367', '381', '395', '409', '423', '437', '451', '465', '479', '493']
['340', '354', '368', '382', '396', '410', '424', '438', '452', '466', '480', '494']
['341', '355', '369', '383', '397', '411', '425', '439', '453', '467', '481', '495']
['342', '356', '370', '384', '398', '412', '426', '440', '454', '468', '482', '496']
['343', '357', '371', '385', '399', '413', '427', '441', '455', '469', '483', '497']
['344', '358', '372', '386', '400', '414', '428', '442', '456', '470', '484', '498']
['345', '359', '373', '387', '401', '415', '429', '443', '457', '471', '485', '499']
['346', '360', '374', '388', '402', '416', '430', '444', '458', '472', '486', '500']
['347', '361', '375', '389', '403', '417', '431', '445', '459', '473', '487', '501']
['348', '362', '376', '390', '404', '418', '432', '446', '460', '474', '488', '502']
['349', '363', '377', '391', '405', '419', '433', '447', '461', '475', '489', '503']
