['712', '858', '292', '408', '190', '921', '868', '836', '614', '324', '387', '233', '488', '916', '331', '308', '150', '857', '105', '657', '506', '94', '392', '264', '849', '66', '487', '448', '226', '375', '207']
['740', '769', '169', '88', '709', '177', '482', '171', '843', '765', '841', '805', '273', '281', '645', '172', '425', '79', '759', '130', '809', '711', '960', '688', '427', '253', '871', '466', '320', '175', '35']
['850', '232', '741', '991', '602', '9', '545', '303', '16', '366', '87', '200', '160', '632', '255', '637', '963', '544', '279', '56', '260', '224', '19', '479', '61', '802', '801', '949', '4', '736', '861']
['121', '38', '420', '364', '795', '125', '608', '548', '951', '753', '326', '377', '381', '593', '779', '216', '217', '481', '246', '707', '43', '767', '954', '371']
['727', '674', '376', '652', '228', '616', '676', '356', '89', '819', '455', '346', '823', '968', '71', '403', '831', '222', '660', '372', '361', '55', '129', '18', '258', '34', '756', '280', '68', '817', '813']
['435', '291', '5', '339', '112', '318', '84', '359', '726', '609', '860', '51', '651', '134', '64', '989', '370', '698', '73', '838', '240', '658', '473', '536', '598', '323', '468', '735', '168', '92', '428']
['114', '510', '589', '515', '266', '113', '460', '912', '11', '374', '865', '839', '847', '274', '539', '137', '619', '941', '45', '225', '445', '902', '188', '0', '788', '974', '883', '748', '956', '431', '373']
['990', '507', '347', '406', '803', '367', '441', '7', '286', '631', '294', '15', '106', '710', '943', '876', '959', '430', '665', '164', '594', '648', '518', '630', '629', '204', '301', '153', '496', '687', '78']
['955', '824', '603', '934', '250', '815', '720', '705', '29', '390', '832', '920', '122', '205', '382', '678', '345', '17', '135', '262', '321', '415', '995', '620', '283', '196', '534', '777', '451', '67', '985']
['298', '478', '791', '872', '702', '178', '352', '661', '685', '311', '583', '37', '900', '123', '649', '115', '538', '834', '14', '167', '708', '774', '713', '314', '751', '944', '821', '835', '289', '208', '925']
['251', '869', '203', '997', '622', '898', '411', '269', '633', '549', '932', '905', '806', '499', '528', '828', '161', '856', '880', '984', '108', '917', '808', '213', '117', '596', '422', '873', '99', '325', '786']
['131', '446', '21', '906', '52', '519', '278', '576', '41', '794', '565', '206', '939', '913', '360', '692', '595', '463', '449', '424', '443', '837', '961', '739', '778', '668', '611', '994', '993', '964', '462']
['183', '432', '54', '718', '584', '686', '193', '575', '358', '569', '404', '894', '139', '26', '590', '866', '644', '557', '946', '723', '322', '437', '62', '926', '639', '517', '174', '306', '337', '186', '773']
['456', '655', '245', '30', '461', '673', '953', '389', '194', '607', '53', '438', '85', '95', '793', '930', '501', '592', '618', '950', '338', '643', '128', '182', '976', '601', '330', '636', '561', '493', '74']
