['64', '707', '572', '733', '709', '407', '117', '756', '704', '215', '93', '760', '604', '111', '242', '664', '627', '720', '259', '36', '56', '412', '658', '335', '32', '436', '11', '498', '744', '336', '777', '457']
['388', '51', '151', '478', '495', '256', '740', '283', '615', '548', '237', '251', '401', '318', '523', '796', '693', '633', '43', '310', '40', '647', '355', '675', '261', '113', '535', '499', '280', '127', '781', '689']
['47', '748', '173', '684', '184', '421', '425', '263', '190', '534', '35', '488', '311', '288', '33', '168', '659', '584', '177', '556', '435', '527', '0', '562', '188', '482', '147', '81', '48', '697', '204', '660']
['737', '394', '391', '409', '299', '153', '357', '653', '420', '166', '31', '84', '325', '453', '566', '677', '404', '372', '296', '539', '1', '360', '374', '487', '632', '610', '770', '567', '596', '23', '222', '592']
['561', '254', '118', '694', '322', '17', '292', '134', '459', '494', '605', '200', '52', '779', '424', '197', '269', '345', '22', '79', '438', '241', '458', '386', '281', '351', '253', '745', '668', '159', '750', '485']
['617', '569', '152', '212', '558', '640', '749', '398', '169', '366', '238', '525', '109', '665', '724', '46', '369', '334', '671', '165', '587', '156', '411', '194', '437', '690', '367', '445', '681', '126', '430', '434']
['248', '579', '389', '277', '776', '30', '747', '519', '483', '727', '422', '262', '798', '692', '104', '274', '608', '105', '549', '225', '377', '103', '209', '395', '347', '522', '70', '110', '577', '563', '249', '91']
['73', '170', '678', '622', '94', '358', '58', '167', '266', '213', '179', '546', '323', '771', '688', '95', '530', '133', '208', '705', '267', '106', '294', '260', '423', '650', '683', '54', '711', '515', '686', '174']
['641', '793', '645', '713', '356', '53', '573', '571', '799', '691', '551', '4', '685', '90', '631', '24', '396', '349', '119', '456', '547', '578', '565', '12', '452', '180', '231', '751', '500', '108', '679', '476']
['77', '19', '639', '376', '72', '706', '529', '512', '446', '656', '302', '616', '428', '142', '18', '384', '511', '613', '7', '663', '614', '233', '270', '273', '553', '239', '460', '444', '6', '492', '14', '163']
['354', '162', '470', '87', '501', '450', '767', '62', '272', '2', '701', '59', '326', '654', '258', '240', '419', '13', '599', '449', '219', '673', '624', '10', '315', '757', '297', '468', '141', '634', '741', '157']
['305', '455', '475', '201', '333', '426', '695', '447', '371', '461', '96', '116', '638', '431', '708', '285', '521', '508', '314', '387', '780', '185', '320', '199', '588', '768', '507', '662', '97', '518', '136', '555']
['112', '65', '370', '182', '782', '172', '496', '362', '143', '80', '301', '275', '497', '462', '9', '176', '718', '646', '765', '78', '670', '140', '543', '722', '574', '576', '726', '787', '405', '21', '75', '236']
['486', '484', '493', '472', '466', '268', '298', '716', '123', '211', '734', '505', '406', '603', '161', '441', '415', '442', '742', '402', '473', '621', '44', '504', '418', '785', '207', '346', '61', '626', '279', '255']
['560', '755', '379', '155', '264', '210', '149', '380', '607', '85', '730', '464', '766', '589', '341', '580', '306', '399', '417', '635', '735', '440', '186', '15', '27', '150', '137', '99', '510', '600', '644', '82']
['489', '348', '158', '154', '728', '300', '100', '164', '29', '66', '295', '564', '20', '714', '429', '68', '317', '45', '34', '229', '503', '581', '520', '313', '506', '657', '330', '602', '732', '590', '332', '699']
['620', '67', '252', '214', '648', '583', '287', '433', '537', '224', '797', '414', '232', '88', '130', '368', '712', '60', '729', '183', '526', '327', '601', '682', '594', '400', '244', '122', '8', '193', '319', '125']
['680', '591', '544', '465', '148', '554', '363', '509', '667', '623', '788', '86', '286', '115', '731', '479', '189', '202', '365', '221', '545', '128', '71', '454', '290', '5', '739', '630', '83', '661', '491', '786']
['408', '135', '3', '284', '49', '774', '146', '352', '342', '385', '413', '582', '575', '516', '448', '643', '381', '619', '289', '743', '703', '228', '375', '609', '593', '107', '393', '245', '432', '637', '69', '752']
['338', '160', '568', '257', '717', '687', '789', '517', '754', '187', '702', '403', '471', '102', '191', '392', '198', '669', '206', '276', '758', '531', '474', '246', '307', '559', '50', '344', '98', '247', '477', '234']
['178', '101', '353', '725', '666', '469', '340', '451', '541', '181', '271', '700', '265', '329', '550', '784', '382', '513', '696', '443', '746', '28', '378', '41', '39', '791', '171', '719', '144', '538', '216', '328']
['321', '131', '652', '532', '762', '611', '316', '361', '42', '672', '337', '773', '218', '753', '343', '536', '55', '651', '514', '282', '439', '308', '490', '794', '761', '570', '373', '331', '625', '595', '612', '250']
['533', '528', '203', '57', '598', '217', '205', '339', '350', '606', '710', '145', '227', '303', '195', '772', '76', '467', '636', '674', '114', '293', '586', '792', '16', '723', '121', '243', '481', '92', '597', '763']
['74', '37', '427', '230', '502', '129', '655', '223', '524', '26', '463', '721', '120', '226', '309', '383', '480', '138', '235', '390', '629', '38', '291', '175', '552', '738', '759', '795', '139', '278', '642', '89']
['649', '585', '769', '25', '698', '764', '790', '196', '783', '132', '736', '124', '364', '540', '618', '312', '220', '715', '542', '778', '676', '63', '397', '557', '324', '304', '410', '628', '359', '775', '416', '192']
