['971', '417', '959']
['905', '844', '790']
['277', '980', '357']
['889', '498', '481']
['738', '245', '885']
['600', '732', '963']
['365', '726', '89']
['810', '186', '192']
['424', '573', '704']
['562', '274', '978']
['35', '51', '122']
['483', '203', '628']
['736', '356', '153']
['342', '388', '658']
['323', '781', '709']
['513', '859', '454']
['40', '134', '165']
['175', '682', '926']
['58', '842', '908']
['685', '924', '118']
['764', '346', '263']
['748', '438', '276']
['935', '900', '921']
['990', '757', '693']
['104', '475', '167']
['493', '792', '965']
['102', '383', '265']
['37', '286', '982']
['250', '663', '191']
['83', '548', '662']
['868', '718', '124']
['257', '886', '552']
['737', '722', '635']
['984', '582', '899']
['881', '456', '485']
['753', '649', '116']
['371', '595', '212']
['121', '681', '505']
['185', '173', '508']
['67', '145', '411']
['743', '942', '345']
['236', '547', '278']
['25', '972', '60']
['898', '144', '355']
['281', '721', '219']
['679', '894', '428']
['308', '956', '158']
['914', '416', '296']
['299', '769', '655']
['99', '432', '823']
['561', '353', '667']
['569', '247', '551']
['680', '271', '642']
['541', '923', '443']
['14', '983', '180']
['895', '441', '336']
['821', '349', '556']
['787', '775', '766']
['352', '945', '762']
['107', '830', '370']
['841', '936', '911']
['403', '999', '852']
['290', '623', '84']
['313', '883', '879']
['597', '414', '801']
['516', '445', '746']
['272', '298', '471']
['15', '604', '660']
['21', '100', '638']
['700', '938', '325']
['433', '206', '937']
['925', '273', '222']
['490', '402', '755']
['208', '828', '478']
['217', '993', '291']
['44', '532', '720']
['5', '166', '221']
['141', '364', '587']
['608', '202', '87']
['970', '306', '400']
['962', '172', '571']
['581', '848', '666']
['986', '76', '479']
['387', '882', '500']
['707', '447', '26']
['301', '177', '875']
['176', '674', '622']
['767', '869', '964']
['621', '643', '592']
['824', '90', '410']
['48', '382', '253']
['68', '93', '267']
['599', '977', '73']
['858', '641', '545']
['195', '855', '954']
['138', '949', '112']
['819', '193', '174']
['627', '910', '425']
['777', '88', '856']
['671', '699', '941']
['462', '293', '304']
['319', '392', '41']
['849', '514', '839']
['159', '363', '486']
['884', '996', '985']
['27', '758', '244']
['927', '335', '307']
['867', '723', '188']
['179', '465', '154']
['651', '321', '742']
['201', '69', '590']
['315', '91', '589']
['168', '231', '988']
['448', '282', '457']
['796', '799', '780']
['560', '287', '744']
['227', '677', '476']
['919', '297', '332']
['449', '652', '162']
['860', '415', '238']
['929', '472', '654']
['155', '28', '42']
['366', '351', '12']
['695', '139', '381']
['683', '389', '864']
['607', '992', '807']
['813', '127', '194']
['19', '136', '686']
['110', '786', '583']
['539', '33', '933']
['77', '312', '733']
['902', '673', '55']
['523', '696', '74']
['80', '585', '270']
['501', '538', '760']
['915', '117', '887']
['825', '706', '216']
['619', '692', '354']
['745', '408', '459']
['922', '835', '877']
['46', '797', '135']
['586', '318', '470']
['833', '71', '601']
['368', '967', '917']
['268', '827', '435']
['814', '691', '63']
['809', '702', '132']
['197', '317', '553']
['773', '97', '235']
['958', '739', '125']
['120', '669', '379']
['115', '252', '52']
['957', '198', '854']
['339', '98', '1']
['731', '406', '314']
['494', '951', '554']
['482', '439', '182']
['527', '712', '735']
['593', '526', '59']
['711', '460', '385']
['111', '420', '843']
['960', '728', '670']
['845', '620', '633']
['183', '64', '763']
['969', '254', '944']
['18', '610', '376']
['79', '404', '913']
['784', '105', '865']
['412', '237', '327']
['260', '455', '537']
['423', '664', '23']
['574', '49', '289']
['776', '866', '85']
['534', '279', '269']
['225', '160', '123']
['785', '320', '54']
['579', '543', '22']
['741', '311', '149']
['613', '716', '752']
['596', '698', '305']
['870', '477', '509']
['106', '878', '142']
['280', '419', '838']
['393', '275', '430']
['603', '987', '0']
['998', '815', '295']
['413', '143', '484']
['903', '725', '626']
['510', '434', '181']
['266', '818', '13']
['401', '580', '540']
['474', '517', '697']
['190', '847', '727']
['563', '4', '904']
['119', '200', '161']
['9', '328', '329']
['857', '326', '137']
['340', '75', '427']
['724', '515', '564']
['507', '688', '829']
['189', '966', '316']
['665', '473', '310']
['32', '344', '529']
['8', '630', '611']
['232', '873', '575']
['822', '715', '228']
['559', '836', '126']
['783', '708', '240']
['631', '467', '874']
['82', '350', '618']
['863', '668', '224']
['229', '341', '891']
['205', '169', '640']
['817', '489', '362']
['437', '740', '791']
['947', '78', '729']
['378', '750', '436']
['639', '719', '249']
['285', '453', '557']
['876', '931', '152']
['348', '961', '129']
['451', '749', '255']
['637', '794', '950']
['108', '974', '492']
['812', '211', '672']
['806', '616', '130']
['452', '770', '907']
['487', '374', '359']
['570', '591', '572']
['114', '524', '233']
['294', '872', '243']
['549', '897', '713']
['16', '246', '747']
['405', '612', '765']
['730', '210', '533']
['418', '774', '751']
['101', '95', '701']
['832', '565', '309']
['230', '525', '930']
['53', '361', '705']
['372', '343', '939']
['602', '535', '215']
['717', '703', '24']
['259', '920', '17']
['981', '164', '906']
['422', '609', '50']
['779', '398', '248']
['170', '678', '199']
['347', '38', '146']
['567', '851', '955']
['10', '653', '29']
['578', '469', '918']
['242', '331', '811']
['795', '994', '928']
['675', '657', '31']
['511', '251', '264']
['676', '333', '588']
['163', '528', '502']
['648', '258', '431']
['948', '495', '94']
['803', '380', '62']
['3', '466', '892']
['522', '614', '113']
['6', '530', '480']
['798', '36', '302']
['444', '461', '687']
['805', '943', '804']
['7', '820', '901']
['862', '334', '952']
['714', '386', '66']
['759', '488', '213']
['871', '373', '636']
['262', '65', '975']
['605', '625', '292']
['544', '802', '399']
['322', '546', '853']
['450', '850', '940']
['710', '968', '542']
['303', '429', '979']
['782', '196', '800']
['934', '995', '826']
['20', '888', '150']
['754', '634', '39']
['396', '45', '56']
