['251', '454', '44', '279', '117', '357', '94']
['683', '296', '57', '121', '309', '444', '592']
['352', '192', '104', '544', '563', '629', '561']
['491', '368', '568', '451', '603', '172', '404']
['220', '167', '486', '123', '254', '456', '191']
['120', '180', '69', '634', '224', '101', '141']
['475', '265', '380', '511', '699', '170', '587']
['292', '228', '666', '53', '74', '85', '412']
['693', '528', '650', '644', '146', '129', '286']
['308', '386', '45', '320', '596', '401', '426']
['478', '549', '638', '566', '555', '423', '126']
['280', '609', '59', '517', '440', '679', '548']
['213', '323', '205', '134', '648', '467', '321']
['387', '606', '50', '157', '107', '112', '223']
['696', '657', '49', '616', '29', '277', '698']
['686', '438', '493', '34', '421', '177', '661']
['376', '151', '658', '464', '371', '474', '63']
['109', '571', '131', '450', '347', '349', '473']
['257', '39', '449', '75', '233', '150', '261']
['289', '196', '87', '420', '462', '264', '369']
['343', '584', '345', '605', '671', '15', '217']
['414', '447', '31', '519', '27', '427', '588']
['339', '360', '299', '182', '271', '351', '463']
['419', '543', '263', '262', '578', '173', '333']
['244', '654', '646', '501', '633', '431', '148']
['118', '375', '564', '631', '546', '681', '607']
['397', '436', '535', '505', '466', '640', '143']
['329', '219', '527', '594', '138', '110', '483']
['677', '102', '480', '326', '46', '612', '385']
['670', '448', '229', '589', '507', '516', '154']
['288', '197', '301', '502', '611', '627', '106']
['206', '522', '26', '481', '16', '645', '248']
['269', '211', '72', '207', '47', '552', '610']
['234', '95', '285', '245', '688', '259', '92']
['268', '238', '194', '373', '513', '530', '570']
['105', '678', '68', '477', '374', '61', '353']
['626', '319', '367', '36', '394', '663', '547']
['199', '669', '458', '240', '418', '294', '346']
['460', '325', '202', '642', '554', '674', '327']
['13', '188', '359', '476', '537', '687', '142']
['494', '281', '168', '496', '318', '341', '317']
['237', '453', '524', '586', '577', '560', '487']
['169', '416', '428', '668', '270', '149', '210']
['231', '65', '331', '81', '495', '675', '402']
['315', '355', '113', '304', '441', '430', '382']
['514', '187', '8', '21', '689', '324', '91']
['100', '38', '136', '272', '523', '682', '283']
['399', '383', '415', '62', '41', '164', '249']
['155', '574', '521', '400', '139', '186', '429']
['381', '391', '354', '433', '176', '632', '407']
['111', '518', '490', '77', '533', '35', '76']
['204', '358', '630', '200', '484', '348', '33']
['290', '556', '652', '667', '3', '482', '417']
['624', '175', '1', '673', '506', '158', '437']
['388', '536', '201', '396', '17', '239', '119']
['479', '579', '498', '572', '152', '28', '114']
['235', '208', '659', '398', '485', '442', '680']
['258', '70', '350', '413', '247', '98', '88']
['542', '503', '621', '84', '364', '6', '253']
['598', '241', '390', '362', '54', '602', '160']
['83', '469', '7', '509', '445', '620', '599']
['581', '590', '573', '389', '457', '212', '116']
['557', '236', '108', '278', '608', '178', '425']
['218', '291', '508', '601', '534', '597', '20']
['379', '582', '14', '565', '174', '392', '135']
['276', '575', '684', '58', '403', '246', '393']
['153', '297', '255', '48', '531', '22', '593']
['553', '78', '226', '497', '165', '370', '313']
['576', '510', '529', '619', '336', '162', '434']
['93', '287', '90', '651', '439', '446', '435']
['465', '227', '432', '166', '130', '222', '567']
['653', '122', '330', '411', '103', '293', '372']
['273', '406', '405', '310', '328', '580', '11']
['500', '307', '9', '615', '515', '649', '243']
['422', '455', '89', '256', '282', '492', '685']
['623', '662', '541', '115', '377', '691', '230']
['628', '124', '42', '504', '127', '252', '409']
['408', '569', '250', '311', '618', '183', '636']
['2', '526', '604', '40', '274', '583', '232']
['647', '468', '0', '128', '334', '71', '550']
['470', '410', '676', '295', '203', '356', '161']
['459', '73', '10', '672', '591', '365', '314']
['625', '690', '147', '532', '635', '266', '361']
['540', '694', '300', '342', '209', '366', '378']
['539', '525', '132', '25', '559', '12', '216']
['335', '641', '190', '472', '82', '692', '56']
['303', '156', '96', '64', '639', '284', '613']
['363', '275', '499', '655', '179', '665', '79']
['97', '614', '697', '66', '55', '163', '344']
['215', '302', '133', '189', '198', '137', '43']
['520', '140', '80', '18', '185', '545', '695']
['214', '660', '51', '5', '23', '306', '125']
['60', '452', '617', '395', '67', '664', '622']
['99', '184', '384', '637', '471', '332', '30']
['260', '86', '443', '424', '538', '225', '242']
['562', '4', '551', '24', '337', '643', '322']
['52', '600', '267', '32', '37', '221', '558']
['488', '19', '489', '193', '461', '340', '298']
['316', '195', '312', '171', '585', '144', '656']
['145', '338', '512', '305', '181', '595', '159']
