['390', '894', '430', '906', '44', '273', '597', '68', '63', '387', '746', '802', '900', '550', '957', '559', '921', '805', '613', '779']
['140', '757', '669', '856', '311', '728', '655', '646', '572', '504', '391', '292', '837', '288', '972', '780', '55', '737', '501', '561']
['768', '183', '69', '84', '619', '879', '397', '546', '434', '628', '487', '2', '350', '939', '257', '773', '552', '667', '242', '940']
['39', '982', '718', '286', '490', '739', '157', '398', '540', '912', '944', '771', '680', '363', '795', '496', '603', '840', '104', '570']
['864', '877', '520', '298', '491', '913', '897', '934', '306', '215', '269', '192', '598', '406', '892', '361', '838', '545', '527', '345']
['317', '217', '347', '159', '375', '162', '666', '600', '528', '489', '472', '842', '727', '733', '28', '132', '30', '32', '966', '943']
['153', '407', '110', '484', '796', '105', '761', '544', '724', '308', '523', '266', '403', '688', '56', '673', '657', '542', '624', '955']
['756', '477', '300', '101', '279', '605', '604', '476', '499', '642', '829', '37', '702', '989', '676', '440', '765', '682', '677', '373']
['210', '349', '485', '575', '533', '580', '93', '725', '782', '229', '576', '698', '113', '993', '209', '731', '384', '382', '522', '0']
['362', '31', '812', '262', '418', '86', '455', '225', '539', '996', '111', '429', '581', '960', '370', '244', '163', '549', '517', '736']
['449', '745', '562', '467', '691', '735', '29', '471', '786', '299', '910', '202', '302', '83', '772', '651', '788', '6', '73', '874']
['149', '424', '181', '386', '875', '571', '121', '271', '321', '173', '601', '145', '990', '180', '855', '141', '936', '186', '923', '392']
['849', '146', '971', '789', '297', '896', '721', '160', '459', '749', '610', '23', '154', '293', '151', '515', '569', '920', '353', '850']
['663', '661', '330', '890', '184', '152', '793', '252', '360', '825', '120', '653', '135', '294', '285', '510', '886', '639', '656', '555']
['804', '11', '643', '142', '295', '952', '915', '857', '713', '637', '851', '762', '645', '858', '198', '924', '178', '574', '927', '275']
['578', '451', '34', '355', '880', '241', '992', '930', '744', '495', '591', '808', '88', '622', '608', '221', '586', '334', '415', '650']
['925', '978', '767', '860', '685', '267', '77', '764', '889', '843', '224', '226', '973', '359', '281', '205', '323', '917', '248', '599']
['641', '565', '411', '759', '951', '974', '612', '763', '618', '102', '701', '243', '78', '351', '117', '714', '189', '237', '751', '712']
['95', '588', '778', '4', '79', '99', '251', '859', '841', '319', '82', '488', '337', '1', '678', '206', '94', '208', '378', '614']
['649', '249', '170', '45', '91', '98', '346', '590', '9', '508', '72', '738', '230', '965', '537', '394', '541', '710', '640', '884']
['289', '389', '431', '942', '112', '417', '492', '716', '715', '287', '409', '526', '558', '956', '442', '60', '775', '638', '722', '179']
['315', '790', '726', '92', '97', '109', '190', '828', '720', '630', '631', '340', '556', '493', '182', '133', '560', '696', '901', '342']
['878', '216', '695', '21', '694', '531', '994', '475', '49', '150', '740', '80', '566', '997', '834', '328', '706', '20', '453', '616']
['46', '513', '644', '8', '683', '456', '14', '826', '313', '904', '593', '207', '447', '986', '272', '364', '90', '365', '945', '470']
['648', '201', '42', '482', '290', '553', '863', '799', '420', '800', '819', '402', '519', '369', '479', '568', '975', '563', '868', '991']
['71', '310', '263', '766', '147', '443', '625', '276', '469', '595', '354', '964', '791', '107', '232', '396', '3', '52', '325', '963']
['564', '54', '437', '464', '137', '367', '632', '871', '532', '35', '335', '324', '426', '191', '124', '234', '494', '954', '96', '343']
['950', '937', '983', '239', '753', '67', '156', '376', '62', '750', '777', '326', '374', '414', '410', '16', '258', '814', '961', '89']
['674', '53', '888', '134', '670', '672', '980', '277', '400', '938', '185', '806', '949', '893', '196', '824', '999', '352', '615', '296']
['24', '507', '74', '514', '246', '634', '582', '264', '543', '212', '693', '401', '623', '270', '377', '770', '128', '503', '592', '268']
['626', '114', '583', '301', '388', '413', '810', '399', '199', '51', '87', '647', '985', '866', '809', '446', '684', '833', '535', '460']
['408', '823', '797', '172', '922', '412', '659', '792', '536', '106', '502', '703', '699', '19', '830', '344', '821', '594', '15', '233']
['741', '338', '38', '427', '228', '831', '416', '976', '907', '865', '256', '979', '700', '869', '609', '998', '801', '873', '320', '200']
['358', '368', '444', '218', '231', '518', '914', '822', '935', '567', '704', '240', '165', '629', '547', '729', '776', '18', '438', '500']
['336', '463', '660', '948', '785', '115', '435', '380', '617', '760', '108', '816', '278', '158', '959', '548', '885', '127', '627', '466']
['747', '953', '675', '916', '977', '327', '967', '845', '611', '621', '357', '474', '941', '662', '195', '946', '421', '506', '811', '439']
['188', '827', '204', '333', '129', '473', '579', '723', '379', '116', '211', '534', '43', '530', '705', '219', '432', '283', '419', '876']
['654', '123', '169', '958', '752', '130', '891', '213', '174', '962', '48', '138', '918', '606', '813', '372', '65', '194', '690', '47']
['220', '423', '155', '687', '497', '305', '512', '187', '81', '61', '573', '854', '478', '223', '454', '405', '10', '329', '803', '36']
['633', '167', '168', '681', '309', '769', '238', '933', '709', '468', '171', '57', '139', '589', '450', '486', '807', '577', '177', '832']
['122', '100', '794', '815', '331', '607', '755', '176', '7', '161', '919', '436', '307', '27', '929', '274', '452', '40', '679', '318']
['247', '862', '898', '981', '255', '732', '774', '665', '404', '280', '465', '433', '846', '969', '166', '861', '730', '259', '245', '895']
['25', '64', '538', '557', '798', '428', '260', '987', '968', '236', '903', '164', '847', '820', '748', '717', '697', '835', '103', '371']
['784', '197', '12', '995', '818', '250', '620', '708', '76', '585', '602', '754', '341', '5', '303', '284', '481', '658', '304', '457']
['458', '836', '652', '462', '22', '905', '742', '911', '743', '41', '282', '988', '671', '253', '291', '33', '235', '261', '719', '314']
['381', '787', '692', '126', '505', '887', '509', '119', '422', '58', '66', '125', '883', '222', '118', '817', '525', '970', '480', '13']
['425', '214', '852', '254', '227', '175', '148', '899', '839', '70', '872', '882', '511', '636', '131', '348', '707', '881', '848', '853']
['551', '136', '316', '909', '17', '635', '383', '366', '483', '587', '144', '664', '870', '781', '395', '441', '203', '947', '844', '356']
['689', '524', '902', '85', '448', '521', '928', '143', '50', '584', '932', '498', '322', '332', '668', '783', '554', '686', '445', '529']
['385', '393', '758', '596', '59', '265', '908', '461', '711', '26', '734', '926', '867', '931', '193', '339', '312', '516', '75', '984']
