['619', '990', '752', '340', '368']
['732', '861', '531', '171', '904']
['525', '452', '978', '577', '784']
['694', '527', '889', '320', '700']
['844', '484', '644', '881', '517']
['319', '288', '444', '852', '865']
['155', '912', '850', '672', '277']
['659', '36', '932', '733', '593']
['137', '933', '755', '322', '642']
['481', '684', '825', '698', '328']
['974', '497', '858', '14', '12']
['928', '158', '612', '169', '689']
['305', '506', '472', '483', '459']
['827', '789', '275', '736', '725']
['48', '207', '742', '917', '9']
['502', '182', '267', '75', '972']
['609', '509', '801', '768', '643']
['86', '6', '802', '70', '949']
['690', '505', '707', '404', '285']
['986', '170', '172', '778', '669']
['588', '63', '806', '464', '174']
['451', '256', '605', '324', '72']
['579', '362', '571', '551', '809']
['297', '220', '357', '532', '336']
['754', '471', '962', '428', '818']
['223', '906', '345', '81', '186']
['151', '399', '890', '550', '521']
['1', '762', '570', '187', '883']
['249', '807', '298', '396', '853']
['854', '587', '952', '787', '568']
['799', '420', '449', '229', '731']
['206', '942', '676', '548', '479']
['181', '387', '835', '499', '359']
['47', '845', '838', '374', '926']
['448', '412', '922', '455', '28']
['503', '311', '34', '218', '876']
['228', '523', '859', '880', '718']
['957', '650', '272', '921', '764']
['29', '664', '461', '475', '682']
['102', '276', '58', '411', '77']
['748', '342', '122', '723', '519']
['697', '946', '648', '262', '569']
['246', '629', '944', '231', '524']
['617', '107', '785', '849', '651']
['608', '226', '116', '544', '950']
['32', '606', '776', '300', '913']
['409', '772', '120', '744', '632']
['3', '749', '62', '965', '603']
['565', '675', '747', '235', '602']
['435', '695', '920', '52', '446']
['429', '770', '463', '225', '713']
['528', '685', '966', '567', '867']
['674', '987', '761', '661', '348']
['118', '511', '526', '325', '42']
['161', '241', '699', '804', '939']
['139', '96', '27', '90', '193']
['993', '408', '156', '414', '781']
['149', '486', '900', '327', '594']
['2', '943', '307', '959', '113']
['907', '129', '607', '980', '954']
['222', '10', '391', '469', '706']
['454', '112', '916', '686', '190']
['653', '902', '820', '888', '331']
['848', '575', '299', '892', '773']
['473', '212', '745', '560', '111']
['176', '216', '500', '198', '432']
['937', '572', '25', '581', '714']
['398', '199', '450', '19', '614']
['83', '210', '332', '232', '810']
['366', '491', '665', '821', '717']
['992', '33', '655', '352', '22']
['361', '885', '953', '979', '456']
['636', '257', '646', '640', '960']
['573', '982', '84', '615', '611']
['728', '808', '439', '413', '465']
['681', '863', '347', '154', '230']
['474', '192', '977', '501', '147']
['407', '935', '65', '110', '824']
['165', '997', '209', '637', '633']
['287', '354', '126', '563', '915']
['296', '512', '882', '67', '626']
['649', '927', '323', '513', '400']
['341', '822', '133', '351', '370']
['758', '109', '726', '877', '247']
['862', '442', '578', '540', '872']
['956', '796', '812', '295', '938']
['373', '989', '941', '580', '970']
['968', '803', '712', '595', '516']
['302', '286', '815', '4', '441']
['78', '284', '403', '814', '886']
['178', '552', '316', '152', '720']
['290', '425', '667', '988', '30']
['819', '711', '840', '16', '709']
['434', '301', '263', '394', '543']
['896', '93', '87', '909', '46']
['64', '37', '688', '805', '520']
['330', '244', '233', '378', '480']
['114', '221', '691', '589', '204']
['628', '680', '737', '430', '196']
['159', '994', '303', '157', '168']
['584', '846', '318', '668', '416']
['98', '692', '121', '829', '304']
['326', '866', '841', '258', '779']
['971', '381', '833', '321', '981']
['763', '101', '382', '388', '601']
['891', '542', '535', '188', '200']
['918', '999', '936', '492', '150']
['363', '358', '729', '769', '774']
