['188', '526', '603', '219', '735', '381', '197', '708', '375', '416', '117', '672', '93', '550', '505', '370', '559', '377', '490', '185', '77', '43', '288', '67', '195', '3', '154', '369', '621', '523']
['582', '575', '396', '64', '380', '262', '290', '164', '38', '683', '467', '55', '162', '278', '743', '481', '632', '230', '104', '476', '110', '718', '699', '190', '261', '563', '37', '284', '335', '235']
['504', '744', '644', '141', '473', '519', '200', '669', '472', '408', '181', '318', '243', '555', '394', '389', '23', '492', '263', '736', '173', '66', '533', '567', '746', '203', '417', '631', '353', '684']
['516', '723', '402', '320', '740', '129', '538', '700', '614', '676', '308', '678', '460', '411', '113', '455', '596', '75', '742', '131', '346', '715', '628', '99', '643', '748', '327', '60', '695', '387']
['277', '625', '515', '285', '611', '169', '116', '470', '269', '572', '542', '293', '477', '337', '609', '214', '91', '456', '236', '19', '385', '732', '491', '558', '468', '610', '425', '412', '32', '510']
['364', '50', '398', '333', '240', '444', '681', '356', '47', '483', '362', '436', '16', '719', '10', '239', '17', '100', '166', '204', '312', '714', '280', '196', '689', '690', '11', '660', '71', '677']
['512', '229', '427', '107', '303', '597', '413', '543', '61', '258', '357', '354', '731', '0', '501', '90', '654', '656', '562', '126', '48', '556', '465', '13', '682', '276', '331', '391', '304', '738']
['298', '46', '86', '397', '496', '25', '487', '302', '329', '135', '624', '323', '528', '666', '136', '350', '256', '92', '560', '180', '69', '639', '158', '33', '119', '459', '707', '426', '59', '170']
['458', '51', '494', '360', '184', '270', '5', '439', '143', '737', '121', '65', '469', '300', '578', '638', '451', '727', '313', '138', '557', '94', '667', '224', '464', '508', '649', '172', '463', '41']
['665', '247', '532', '283', '8', '442', '152', '379', '289', '388', '734', '687', '395', '616', '713', '462', '106', '711', '530', '541', '161', '352', '378', '315', '461', '694', '330', '53', '580', '568']
['651', '296', '145', '186', '292', '35', '434', '522', '422', '98', '471', '272', '686', '452', '726', '123', '244', '191', '488', '437', '495', '386', '213', '524', '194', '668', '334', '407', '549', '246']
['642', '151', '482', '167', '525', '266', '641', '79', '124', '658', '20', '95', '112', '274', '657', '132', '39', '619', '374', '88', '307', '716', '120', '2', '178', '712', '1', '536', '613', '623']
['9', '728', '478', '368', '446', '54', '202', '347', '424', '223', '392', '485', '339', '168', '484', '233', '250', '401', '248', '149', '733', '648', '435', '348', '122', '133', '552', '286', '189', '179']
['102', '420', '499', '566', '358', '620', '513', '34', '545', '130', '336', '205', '29', '182', '324', '553', '692', '506', '564', '206', '514', '115', '480', '448', '147', '287', '565', '585', '534', '84']
['671', '653', '661', '24', '72', '579', '546', '295', '62', '365', '570', '650', '688', '739', '153', '317', '509', '160', '349', '171', '150', '97', '234', '591', '321', '137', '328', '363', '351', '210']
['626', '73', '87', '704', '674', '659', '208', '595', '70', '592', '400', '447', '544', '265', '710', '114', '521', '383', '453', '703', '539', '709', '57', '569', '36', '201', '273', '691', '341', '355']
['466', '679', '30', '493', '279', '245', '602', '637', '268', '56', '454', '207', '450', '361', '607', '108', '438', '177', '529', '81', '627', '511', '571', '645', '218', '192', '561', '633', '670', '745']
['612', '373', '548', '717', '22', '221', '96', '80', '589', '76', '15', '183', '305', '125', '573', '605', '537', '242', '49', '14', '696', '721', '306', '227', '42', '146', '693', '359', '231', '635']
['410', '105', '345', '531', '701', '414', '12', '45', '664', '252', '78', '63', '222', '7', '311', '144', '432', '423', '741', '282', '142', '662', '698', '237', '618', '647', '498', '598', '393', '418']
['344', '629', '430', '316', '518', '199', '586', '241', '634', '101', '722', '27', '83', '89', '174', '705', '325', '4', '663', '322', '198', '85', '527', '457', '652', '366', '630', '577', '405', '342']
['299', '433', '479', '419', '157', '725', '601', '376', '118', '588', '159', '429', '267', '404', '535', '520', '600', '584', '576', '319', '211', '384', '226', '507', '68', '134', '489', '583', '338', '399']
['58', '590', '326', '294', '747', '729', '697', '441', '608', '500', '551', '604', '21', '216', '409', '217', '340', '18', '255', '655', '675', '367', '706', '749', '220', '163', '593', '309', '636', '156']
['271', '702', '249', '238', '403', '587', '275', '685', '6', '257', '314', '111', '232', '165', '74', '497', '440', '502', '445', '332', '28', '606', '139', '193', '475', '260', '371', '615', '127', '148']
['474', '109', '31', '228', '82', '215', '730', '140', '449', '443', '103', '720', '421', '617', '372', '254', '646', '44', '259', '187', '253', '486', '40', '209', '264', '343', '547', '599', '382', '390']
['251', '574', '724', '673', '212', '281', '581', '301', '554', '503', '175', '26', '540', '291', '517', '431', '297', '640', '415', '155', '680', '622', '310', '406', '176', '428', '128', '594', '52', '225']
