['a17', 'a271', 'a124', 'a126', 'a128', 'a155', 'a162', 'a190', 'a200', 'a202', 'a203', 'a238']
['a24', 'a276', 'a444', 'a412', 'a217', 'a355', 'a371', 'a392', 'a426', 'a451', 'a64', 'a80']
['a16', 'a310', 'a335', 'a293', 'a321', 'a402', 'a416', 'a55', 'a301', 'a326', 'a65', 'a289']
['a367', 'a431', 'a471', 'a2', 'a148', 'a240', 'a255', 'a318', 'a386', 'a413', 'a419', 'a447']
['a324', 'a398', 'a420', 'a423', 'a48', 'a62', 'a142', 'a229', 'a252', 'a288', 'a305', 'a350']
['a415', 'a441', 'a70', 'a119', 'a134', 'a167', 'a172', 'a285', 'a290', 'a18', 'a470', 'a47']
['a7', 'a85', 'a100', 'a204', 'a476', 'a92', 'a103', 'a145', 'a207', 'a213', 'a216', 'a261']
['a29', 'a422', 'a40', 'a186', 'a206', 'a287', 'a315', 'a477', 'a14', 'a56', 'a67', 'a106']
['a375', 'a390', 'a427', 'a478', 'a21', 'a51', 'a260', 'a263', 'a278', 'a298', 'a309', 'a327']
['a10', 'a280', 'a332', 'a336', 'a338', 'a359', 'a376', 'a391', 'a405', 'a464', 'a101', 'a105']
['a3', 'a175', 'a201', 'a226', 'a316', 'a319', 'a340', 'a342', 'a383', 'a153', 'a189', 'a245']
['a82', 'a331', 'a139', 'a406', 'a12', 'a163', 'a264', 'a339', 'a356', 'a243', 'a54', 'a257']
['a460', 'a397', 'a5', 'a248', 'a273', 'a417', 'a442', 'a445', 'a459', 'a472', 'a110', 'a111']
['a320', 'a346', 'a208', 'a254', 'a414', 'a428', 'a36', 'a127', 'a161', 'a364', 'a385', 'a393']
['a23', 'a249', 'a345', 'a183', 'a187', 'a443', 'a462', 'a463', 'a49', 'a57', 'a59', 'a84']
['a32', 'a258', 'a297', 'a351', 'a353', 'a373', 'a396', 'a433', 'a50', 'a74', 'a171', 'a178']
['a39', 'a218', 'a235', 'a46', 'a233', 'a262', 'a270', 'a307', 'a372', 'a403', 'a455', 'a456']
['a26', 'a98', 'a120', 'a123', 'a192', 'a247', 'a256', 'a328', 'a363', 'a421', 'a424', 'a453']
['a215', 'a224', 'a225', 'a237', 'a268', 'a302', 'a323', 'a333', 'a348', 'a352', 'a360', 'a382']
['a404', 'a449', 'a4', 'a228', 'a239', 'a308', 'a329', 'a368', 'a388', 'a411', 'a133', 'a140']
['a22', 'a102', 'a277', 'a358', 'a469', 'a44', 'a107', 'a136', 'a211', 'a214', 'a251', 'a294']
['a19', 'a87', 'a454', 'a267', 'a325', 'a361', 'a378', 'a43', 'a90', 'a113', 'a115', 'a125']
['a168', 'a154', 'a223', 'a69', 'a165', 'a121', 'a313', 'a306', 'a435', 'a475', 'a33', 'a158']
['a97', 'a28', 'a205', 'a337', 'a425', 'a479', 'a41', 'a95', 'a96', 'a137', 'a151', 'a164']
['a1', 'a480', 'a83', 'a88', 'a170', 'a188', 'a199', 'a220', 'a265', 'a272', 'a81', 'a89']
['a468', 'a99', 'a109', 'a118', 'a198', 'a250', 'a381', 'a15', 'a58', 'a122', 'a227', 'a291']
['a37', 'a259', 'a438', 'a53', 'a117', 'a132', 'a169', 'a219', 'a314', 'a322', 'a452', 'a474']
['a8', 'a374', 'a66', 'a144', 'a160', 'a241', 'a246', 'a274', 'a300', 'a311', 'a357', 'a362']
['a299', 'a286', 'a334', 'a365', 'a418', 'a436', 'a458', 'a61', 'a63', 'a71', 'a156', 'a184']
['a30', 'a180', 'a131', 'a181', 'a244', 'a269', 'a341', 'a369', 'a370', 'a379', 'a389', 'a429']
['a6', 'a176', 'a409', 'a437', 'a27', 'a380', 'a354', 'a210', 'a196', 'a387', 'a138', 'a284']
['a34', 'a191', 'a108', 'a112', 'a185', 'a232', 'a266', 'a281', 'a296', 'a347', 'a395', 'a401']
['a11', 'a149', 'a209', 'a212', 'a230', 'a236', 'a304', 'a465', 'a77', 'a147', 'a152', 'a193']
['a9', 'a130', 'a157', 'a221', 'a282', 'a312', 'a430', 'a42', 'a72', 'a78', 'a91', 'a116']
['a20', 'a182', 'a407', 'a434', 'a446', 'a45', 'a52', 'a104', 'a159', 'a179', 'a253', 'a279']
['a31', 'a75', 'a150', 'a344', 'a377', 'a384', 'a94', 'a234', 'a317', 'a394', 'a410', 'a450']
['a35', 'a146', 'a303', 'a349', 'a439', 'a76', 'a135', 'a177', 'a292', 'a295', 'a93', 'a141']
['a399', 'a25', 'a73', 'a222', 'a242', 'a473', 'a60', 'a79', 'a86', 'a173', 'a174', 'a195']
['a13', 'a197', 'a400', 'a129', 'a231', 'a343', 'a366', 'a440', 'a448', 'a457', 'a466', 'a467']
['a38', 'a143', 'a166', 'a275', 'a283', 'a330', 'a408', 'a432', 'a461', 'a68', 'a114', 'a194']
