['370', '422', '434', '88', '31', '213', '265', '52', '58', '469', '16', '83', '116', '128', '147', '162', '201', '229', '322', '349']
['447', '11', '86', '179', '351', '440', '0', '154', '211', '303', '429', '472', '30', '112', '231', '295', '299', '451', '478', '69']
['164', '172', '305', '388', '389', '443', '499', '339', '18', '89', '113', '321', '342', '346', '4', '198', '228', '242', '331', '485']
['285', '48', '340', '383', '362', '35', '337', '345', '379', '457', '79', '311', '452', '43', '46', '77', '204', '368', '275', '294']
['152', '496', '324', '445', '225', '195', '3', '230', '85', '380', '406', '418', '455', '70', '111', '141', '144', '167', '323', '350']
['274', '121', '234', '244', '32', '266', '347', '360', '395', '54', '405', '27', '96', '181', '186', '366', '94', '280', '369', '237']
['410', '166', '278', '8', '33', '183', '271', '78', '109', '163', '356', '394', '22', '247', '458', '381', '399', '404', '442', '489']
['10', '423', '75', '29', '319', '359', '21', '149', '233', '124', '401', '433', '481', '95', '126', '210', '268', '343', '374', '392']
['159', '7', '19', '378', '386', '34', '104', '338', '12', '284', '435', '476', '41', '145', '118', '165', '208', '250', '270', '288']
['491', '263', '412', '415', '218', '101', '117', '133', '150', '432', '87', '314', '336', '397', '486', '92', '178', '196', '377', '438']
['363', '28', '376', '107', '334', '417', '439', '459', '110', '138', '194', '390', '68', '100', '157', '298', '426', '460', '487', '9']
['488', '238', '62', '251', '146', '317', '494', '256', '301', '76', '315', '466', '45', '207', '214', '224', '267', '300', '306', '341']
['103', '55', '281', '47', '367', '74', '449', '153', '187', '73', '310', '277', '71', '156', '120', '307', '329', '354', '402', '453']
['286', '199', '411', '470', '393', '398', '468', '220', '302', '353', '373', '477', '490', '318', '407', '42', '176', '203', '257', '296']
['391', '15', '437', '253', '142', '396', '50', '160', '184', '223', '137', '148', '175', '326', '344', '6', '51', '63', '84', '102']
['473', '335', '177', '413', '461', '441', '467', '14', '20', '131', '197', '216', '235', '332', '134', '420', '24', '185', '259', '325']
['260', '262', '67', '81', '495', '25', '382', '5', '49', '66', '72', '206', '226', '290', '454', '205', '249', '416', '492', '59']
['64', '119', '261', '444', '273', '246', '387', '464', '93', '430', '474', '232', '328', '431', '372', '97', '151', '161', '189', '243']
['498', '365', '313', '192', '316', '330', '421', '462', '463', '482', '1', '114', '140', '188', '292', '91', '241', '17', '130', '173']
['90', '80', '283', '484', '200', '221', '483', '37', '44', '219', '287', '327', '384', '168', '180', '191', '222', '355', '456', '61']
['236', '348', '309', '333', '364', '450', '297', '428', '465', '123', '279', '60', '289', '361', '403', '414', '424', '425', '446', '475']
['212', '245', '400', '239', '98', '122', '143', '419', '190', '139', '171', '304', '358', '254', '38', '106', '448', '471', '479', '40']
['105', '132', '170', '36', '158', '371', '2', '217', '255', '269', '480', '493', '39', '53', '108', '240', '258', '320', '409', '427']
['182', '308', '436', '155', '135', '352', '26', '227', '276', '375', '136', '193', '272', '13', '23', '82', '169', '215', '65', '99']
['282', '125', '129', '312', '357', '56', '264', '115', '248', '291', '385', '408', '497', '57', '127', '174', '202', '209', '252', '293']
