['460', '390', '102', '275', '4', '81', '116', '136', '79', '473', '48', '290', '356', '158', '312', '70', '268', '444', '180', '400', '466', '334', '432']
['302', '406', '419', '76', '21', '54', '43', '164', '197', '32', '230', '5', '10', '131', '241', '439', '175', '186', '357', '384', '87', '340', '225']
['450', '221', '238', '314', '224', '476', '114', '349', '382', '307', '134', '183', '190', '92', '110', '205', '101', '168', '189', '31', '37']
['194', '228', '82', '213', '7', '29', '119', '161', '315', '53', '75', '95', '381', '9', '73', '273', '383', '425', '427', '141', '229', '471', '185']
['285', '397', '318', '320', '139', '45', '298', '207', '313', '137', '493', '159', '339', '423', '269', '293', '295', '337', '163', '249', '335', '361', '49']
['265', '208', '188', '0', '145', '44', '66', '242', '286', '22', '132', '198', '396', '418', '352', '264', '440', '254', '342', '359', '489', '446', '220']
['270', '248', '321', '402', '490', '291', '50', '80', '123', '181', '209', '62', '154', '203', '93', '233', '51', '35', '46']
['457', '405', '481', '142', '329', '336', '234', '300', '322', '344', '477', '483', '278', '395', '411', '389', '199', '413', '345', '455', '218', '328', '155']
['367', '172', '399', '16', '120', '274', '36', '38', '18', '104', '14', '58', '60', '84', '128', '478', '27', '40', '71', '115', '280', '304', '324']
['408', '378', '316', '276', '426', '488', '496', '12', '97', '251', '362', '445', '465', '317', '354', '148', '201', '222', '374', '85', '135', '173', '379']
['472', '192', '260', '287', '258', '176', '214', '13', '277', '365', '484', '167', '211', '299', '326', '343', '431', '475', '497', '409', '453', '393', '463']
['246', '250', '63', '88', '202', '294', '30', '52', '140', '288', '8', '106', '184', '330', '338', '404', '96', '206', '216', '348', '392', '492', '150']
['436', '368', '195', '83', '219', '171', '369', '417', '105', '435', '281', '17', '149', '263', '461', '479', '109', '259', '303', '347', '127', '193', '351']
['467', '485', '33', '495', '55', '187', '319', '429', '11', '253', '65', '237', '464', '341', '416', '499', '252', '350', '407', '451', '247', '323', '401']
['447', '306', '204', '266', '90', '156', '68', '200', '178', '376', '438', '442', '2', '244', '332', '486', '112', '469', '377', '459', '310', '375', '449']
['403', '1', '23', '91', '3', '89', '99', '353', '25', '121', '143', '165', '309', '331', '363', '77', '297', '441', '69', '111', '245', '333', '385']
['272', '422', '174', '282', '232', '39', '196', '262', '20', '108', '64', '130', '240', '470', '482', '42', '118', '284', '74', '152', '372', '394', '86']
['133', '370', '98', '480', '296', '494', '177', '414', '243', '428', '458', '462', '360', '373', '126', '170', '231', '271', '289', '24', '151', '162', '255']
['391', '308', '346', '311', '19', '325', '117', '327', '371', '107', '129', '239', '261', '283', '415', '437', '355', '443', '217', '227', '412', '491', '223']
['57', '67', '256', '157', '138', '182', '6', '28', '94', '487', '160', '421', '358', '468', '226', '292', '47', '72', '113', '267', '380', '424', '179']
['434', '398', '212', '301', '34', '122', '144', '456', '56', '388', '410', '430', '100', '146', '210', '366', '166', '452', '454', '474', '78', '386', '364']
['387', '420', '448', '498', '236', '215', '41', '169', '124', '153', '61', '305', '15', '59', '125', '433', '26', '235', '257', '279', '103', '147', '191']
