['59', '200', '292', '153', '63']
['274', '50', '300', '75', '46']
['14', '430', '322', '418', '98']
['359', '1', '371', '334', '132']
['25', '39', '6', '299', '193']
['195', '52', '40', '147', '340']
['412', '246', '154', '350', '431']
['423', '386', '58', '218', '144']
['367', '432', '219', '162', '272']
['346', '266', '96', '102', '164']
['20', '494', '345', '31', '215']
['295', '234', '188', '354', '245']
['328', '273', '384', '145', '304']
['294', '392', '452', '36', '210']
['10', '351', '118', '140', '122']
['287', '492', '406', '66', '167']
['151', '15', '125', '101', '107']
['225', '199', '355', '89', '48']
['261', '170', '381', '174', '242']
['85', '109', '108', '484', '455']
['282', '249', '141', '315', '53']
['90', '180', '42', '165', '255']
['129', '5', '489', '88', '84']
['437', '316', '331', '8', '33']
['279', '135', '112', '449', '19']
['104', '243', '393', '382', '78']
['497', '183', '363', '347', '44']
['379', '440', '149', '409', '330']
['81', '487', '301', '178', '69']
['443', '341', '233', '114', '461']
['184', '352', '37', '361', '192']
['250', '348', '370', '453', '470']
['197', '168', '120', '465', '28']
['493', '462', '61', '13', '410']
['247', '325', '11', '226', '152']
['189', '211', '472', '136', '297']
['313', '349', '400', '259', '213']
['92', '398', '271', '332', '121']
['476', '182', '451', '207', '337']
['214', '41', '251', '366', '83']
['111', '68', '284', '438', '357']
['235', '95', '80', '23', '311']
['253', '458', '252', '18', '444']
['51', '127', '217', '376', '228']
['143', '171', '130', '27', '263']
['3', '137', '285', '57', '298']
['463', '475', '268', '491', '270']
['496', '47', '208', '281', '309']
['77', '142', '365', '29', '220']
['99', '288', '7', '403', '333']
['372', '380', '62', '187', '257']
['426', '498', '486', '401', '43']
['303', '194', '9', '166', '248']
['34', '339', '434', '212', '216']
['464', '290', '364', '396', '307']
['185', '139', '424', '324', '82']
['93', '150', '221', '186', '305']
['394', '177', '21', '65', '389']
['203', '343', '296', '479', '126']
['231', '441', '473', '280', '482']
['86', '335', '116', '179', '429']
['30', '374', '26', '327', '468']
['12', '175', '442', '229', '414']
['224', '163', '38', '94', '283']
['124', '97', '79', '158', '258']
['230', '173', '254', '237', '488']
['336', '411', '415', '344', '427']
['17', '117', '105', '198', '232']
['457', '460', '417', '302', '490']
['157', '433', '435', '317', '448']
['256', '391', '67', '64', '485']
['16', '420', '323', '169', '378']
['128', '262', '146', '308', '306']
['260', '416', '110', '293', '113']
['74', '206', '131', '73', '35']
['236', '467', '160', '360', '286']
['239', '205', '278', '240', '446']
['275', '49', '377', '469', '148']
['425', '106', '0', '227', '439']
['161', '115', '408', '499', '209']
['388', '358', '353', '338', '329']
['156', '56', '422', '447', '385']
['450', '45', '119', '201', '55']
['375', '368', '196', '387', '405']
['402', '87', '454', '103', '204']
['241', '202', '138', '356', '244']
['466', '404', '190', '471', '373']
['369', '269', '222', '265', '478']
['277', '456', '413', '22', '495']
['291', '397', '155', '383', '362']
['407', '320', '32', '474', '310']
['71', '289', '172', '459', '342']
['319', '100', '223', '134', '421']
['159', '176', '314', '123', '428']
['267', '390', '264', '60', '419']
['436', '481', '24', '4', '399']
['312', '2', '321', '133', '91']
['445', '191', '395', '76', '477']
['54', '181', '72', '238', '318']
['480', '70', '483', '326', '276']
