['478', '37', '281', '241', '297', '377', '212', '194', '12', '390', '307', '87', '269', '84', '444', '401', '306', '74', '6', '362', '72', '192', '295', '340', '319', '110', '292', '409', '157', '406', '467', '282']
['414', '96', '352', '48', '53', '146', '361', '288', '69', '176', '328', '155', '77', '168', '203', '410', '411', '369', '476', '355', '399', '334', '347', '280', '250', '22', '273', '376', '301', '449', '131', '142']
['195', '54', '121', '39', '114', '13', '404', '190', '89', '126', '135', '441', '120', '344', '469', '204', '216', '171', '337', '298', '218', '462', '187', '264', '219', '233', '172', '167', '314', '421', '220', '191']
['431', '234', '65', '55', '378', '33', '24', '70', '125', '257', '230', '350', '286', '374', '7', '272', '64', '20', '366', '99', '394', '67', '244', '430', '82', '60', '229', '335', '143', '225', '415', '451']
['4', '383', '385', '239', '332', '153', '417', '247', '222', '256', '289', '372', '83', '201', '154', '331', '437', '416', '31', '165', '0', '9', '405', '396', '422', '293', '305', '63', '336', '440', '326', '452']
['213', '76', '182', '407', '34', '202', '86', '97', '209', '348', '71', '15', '318', '479', '322', '159', '100', '463', '36', '49', '442', '446', '170', '333', '379', '458', '35', '353', '29', '365', '240', '454']
['21', '474', '443', '227', '375', '19', '371', '42', '472', '217', '370', '16', '236', '105', '439', '85', '130', '62', '26', '310', '17', '358', '43', '456', '232', '279', '92', '41', '93', '242', '461', '418']
['181', '388', '106', '255', '245', '88', '215', '276', '128', '261', '107', '303', '127', '119', '61', '113', '420', '246', '284', '262', '300', '359', '149', '94', '52', '391', '423', '151', '432', '38', '277', '426']
['325', '312', '160', '436', '283', '214', '291', '464', '296', '429', '200', '457', '147', '253', '408', '413', '51', '448', '339', '321', '196', '197', '144', '177', '285', '254', '341', '221', '237', '133', '363', '50']
['104', '389', '109', '249', '198', '248', '346', '81', '95', '23', '251', '275', '223', '56', '185', '11', '445', '118', '211', '360', '419', '231', '294', '166', '47', '129', '468', '30', '243', '210', '364', '290']
['330', '102', '150', '40', '268', '180', '103', '132', '316', '267', '434', '351', '80', '226', '68', '178', '368', '123', '137', '179', '317', '205', '174', '477', '438', '403', '66', '59', '428', '75', '460', '169']
['57', '342', '8', '397', '117', '1', '134', '32', '349', '156', '152', '90', '235', '124', '27', '173', '302', '18', '343', '433', '453', '367', '115', '224', '382', '308', '183', '470', '274', '163', '73', '425']
['459', '450', '46', '161', '44', '2', '357', '258', '112', '5', '148', '145', '345', '10', '122', '320', '141', '79', '299', '392', '98', '384', '58', '380', '412', '14', '116', '475', '313', '259', '270', '186']
['315', '271', '398', '139', '447', '78', '402', '158', '424', '260', '427', '263', '278', '101', '466', '323', '206', '327', '465', '175', '199', '184', '287', '266', '373', '3', '473', '354', '395', '338', '108', '164']
['435', '393', '189', '252', '455', '471', '238', '329', '28', '193', '400', '304', '111', '309', '25', '140', '91', '265', '311', '207', '381', '136', '356', '162', '208', '228', '324', '45', '138', '188', '386', '387']
