['39', '16', '8', '38', '19', '24', '83', '28', '21', '59', '257', '25', '40', '47', '57', '61', '67', '71', '0', '11', '17', '41', '93', '168', '232']
['291', '138', '234', '239', '266', '153', '264', '104', '210', '240', '287', '108', '265', '124', '222', '243', '100', '164', '195', '199', '229', '261', '224', '252', '127']
['64', '89', '98', '65', '32', '55', '58', '77', '99', '180', '194', '260', '69', '74', '170', '110', '174', '29', '33', '63', '79', '80', '155', '159', '176']
['236', '204', '246', '228', '200', '231', '202', '225', '227', '208', '219', '220', '237', '244', '248', '206', '207', '215', '221', '268', '283', '298', '3', '31', '56']
['75', '297', '263', '54', '258', '277', '279', '281', '23', '44', '51', '60', '73', '78', '118', '131', '151', '167', '171', '175', '182', '191', '196', '262', '280']
['181', '156', '96', '276', '94', '157', '282', '70', '113', '133', '172', '198', '106', '177', '179', '186', '82', '178', '290', '85', '88', '165', '166', '193', '251']
['161', '160', '183', '187', '154', '184', '92', '117', '142', '146', '150', '185', '211', '241', '274', '286', '81', '101', '103', '115', '122', '162', '169', '173', '205']
['107', '190', '132', '145', '152', '105', '158', '148', '192', '109', '123', '136', '140', '216', '129', '135', '147', '217', '6', '22', '53', '111', '134', '137', '141']
['249', '209', '201', '203', '238', '50', '214', '218', '223', '72', '76', '84', '91', '95', '144', '247', '250', '292', '30', '36', '37', '52', '66', '86', '87']
['27', '275', '34', '121', '284', '295', '7', '9', '10', '14', '26', '97', '114', '130', '139', '143', '189', '212', '256', '1', '4', '13', '43', '62', '68']
['90', '278', '288', '242', '267', '102', '125', '259', '273', '296', '112', '253', '149', '270', '269', '294', '12', '116', '254', '255', '271', '272', '285', '293', '299']
['213', '235', '46', '245', '18', '20', '49', '119', '120', '128', '163', '197', '226', '230', '233', '2', '15', '35', '42', '45', '48', '126', '188', '289', '5']
