['l9', 'f5', 'f6', 'f9', 'y8', 'e8', 'o4', 'j4', 'a2', 'a3']
['h1', 'j10', 'h4', 'm5', 'm3', 'x2', 'j3', 'p1', 'c7', 'c4']
['r10', 't5', 'q5', 'c10', 'g8', 'b8', 'y4', 'u7', 'v6', 'g10']
['m7', 'a10', 'd3', 'u8', 'h10', 'i10', 'g4', 'p10', 'b4', 'w6']
['i4', 'j8', 'w5', 'w8', 'h8', 'd10', 's2', 'k1', 'k4', 'i3']
['y2', 'y10', 'h6', 'u2', 'y9', 't6', 't3', 'j6', 'e3', 'x5']
['v7', 'k3', 'k10', 'f4', 'q7', 'm10', 'a7', 'k6', 't8', 't7']
['b6', 's4', 'h7', 'm2', 'm8', 'p7', 'k2', 'e4', 'r8', 'f3']
['b10', 'k5', 'b2', 'h5', 'u1', 'c8', 'f8', 'v3', 'r9', 'l4']
['d2', 'p8', 'j9', 'd7', 'e10', 'x3', 'c1', 'j2', 'r1', 'h9']
['p2', 'w2', 'b9', 's6', 'g5', 'b5', 'i5', 'w10', 'e5', 'u4']
['p9', 'd8', 'r7', 'n7', 'k8', 'v8', 'd4', 'f1', 'f2', 'd9']
['q1', 'c5', 'l1', 'a5', 'o10', 'a9', 's3', 'k7', 'k9', 'i6']
['u6', 'l5', 'a4', 'x6', 'x7', 'd6', 'n3', 'y7', 'l8', 's10']
['j1', 'o1', 'b3', 'o5', 'u5', 'p6', 'i2', 'w9', 'o7', 'r6']
['u3', 'n9', 'u9', 's9', 'n6', 'q4', 'a8', 'q9', 'm1', 'c2']
['x1', 'x9', 'y6', 'p5', 'x8', 's5', 'q2', 'j5', 'r4', 'p4']
['c3', 'e7', 'i9', 'q10', 'h3', 'c6', 'g9', 'e1', 'e2', 'c9']
['a1', 't9', 'l2', 'a6', 'o3', 'e6', 'f10', 'r5', 'r2', 'h2']
['o2', 'm9', 's8', 'i8', 't1', 'b7', 'y3', 'l10', 'o9', 'u10']
['o8', 'q8', 'x10', 'o6', 'v10', 'y5', 'd1', 'g2', 'p3', 'n10']
['t2', 'r3', 'n1', 'n2', 'x4', 'j7', 'e9', 'n4', 'n5', 'q6']
['f7', 'd5', 'w1', 'm6', 'l3', 'b1', 's1', 'i7', 'y1', 'g6']
['s7', 'q3', 'w4', 'v2', 'v4', 'v5', 'v9', 'n8', 'g7', 't4']
['w7', 'l6', 'w3', 'i1', 't10', 'l7', 'm4', 'g3', 'g1', 'v1']
