['61', '23', '425', '32', '62', '55', '70', '227', '400', '291']
['229', '28', '276', '397', '118', '429', '273', '348', '42', '0']
['381', '140', '365', '187', '161', '46', '493', '142', '298']
['139', '440', '144', '162', '426', '283', '63', '296', '316', '155']
['311', '430', '160', '201', '11', '8', '36', '159', '390', '154']
['295', '122', '18', '391', '470', '10', '441', '211', '232', '434']
['124', '100', '405', '128', '103', '398', '1', '82', '102', '480']
['174', '432', '29', '31', '150', '275', '279', '442', '304', '123']
['475', '89', '366', '40', '466', '446', '169', '72', '172', '431']
['240', '280', '223', '96', '494', '438', '464', '382', '52', '143']
['247', '133', '477', '69', '350', '360', '145', '146', '453', '41']
['6', '214', '328', '191', '378', '60', '385', '454', '383', '331']
['37', '88', '22', '53', '221', '319', '413', '403', '300', '325']
['219', '15', '388', '136', '346', '394', '181', '130', '179', '254']
['499', '206', '389', '335', '114', '13', '7', '457', '352', '184']
['77', '263', '132', '85', '173', '299', '244', '326', '171', '234']
['257', '270', '54', '134', '182', '409', '258', '327', '91', '337']
['340', '189', '495', '116', '209', '49', '210', '315', '301', '176']
['71', '404', '354', '165', '196', '79', '309', '333', '433', '292']
['44', '338', '246', '402', '225', '375', '491', '250', '392', '175']
['157', '192', '476', '439', '129', '269', '288', '226', '39', '104']
['436', '374', '487', '252', '449', '87', '281', '419', '444', '343']
['498']
['90', '12', '437', '427', '9', '67', '307', '109', '462', '294']
['393', '3', '334', '180', '107', '17', '50', '467', '320', '380']
['197', '112', '156', '357', '277', '479', '113', '486', '98', '73']
['253', '272', '166', '2', '202', '178', '212', '461', '323', '68']
['290', '379', '111', '468', '317', '332', '25', '297', '57', '45']
['158', '170', '471', '312', '220', '265', '141', '358', '120', '274']
['34', '151', '443', '149', '237', '415', '117', '249', '78', '428']
['260', '215', '268', '497', '218', '213', '384', '336', '135', '4']
['81', '408', '396', '216', '361', '353', '485', '452', '94', '465']
['101', '205', '224', '411', '167', '193', '306', '245', '330', '406']
['110', '43', '115', '355', '287', '239', '64', '121', '177', '339']
['310', '401', '344', '164', '347', '255', '318', '329', '369', '106']
['368', '5', '267', '351', '190', '367', '148', '35', '20', '410']
['251', '95', '105', '447', '450', '371', '199', '418', '345', '435']
['474', '59', '65', '259', '284', '204', '324', '183', '186', '76']
['152', '163', '198', '14', '97', '86', '407', '349', '51', '482']
['370', '451', '131', '356', '481', '261', '302', '168', '195', '478']
['386', '423', '188', '473', '456', '416', '66', '56', '362', '412']
['185', '30', '262', '455', '127', '208', '38', '483', '489', '387']
['83', '359', '26', '313', '19', '472', '293', '99', '459', '233']
['285', '342', '420', '377', '217', '137', '75', '93', '58', '207']
['74', '399', '314', '248', '271', '200', '228', '372', '278', '24']
['448', '308', '445', '373', '203', '460', '84', '490', '33', '138']
['282', '286', '256', '147', '364', '424', '222', '48', '417', '264']
['363', '376', '305', '488', '266', '484', '243', '16', '194', '126']
['463', '289', '492', '236', '119', '341', '469', '230', '108', '496']
['322', '80', '242', '153', '235', '241', '238', '414', '395', '27']
['92', '458', '125', '303', '321', '47', '421', '422', '231', '21']
