['4', '24', '210', '282']
['219', '490', '222', '231']
['64', '72', '216', '256']
['19', '292', '412', '206']
['331', '69', '217', '221']
['410', '415', '423', '477']
['251', '296', '254', '255']
['226', '300', '297', '301']
['218', '348', '444', '223']
['419', '377', '381', '382']
['252', '298', '404', '167']
['160', '113', '117', '118']
['120', '332', '468', '125']
['140', '137', '142', '151']
['8', '220', '416', '452']
['274', '336', '403', '7']
['370', '1', '6', '15']
['44', '338', '472', '41']
['196', '360', '428', '193']
['347', '435', '440', '14']
['156', '248', '464', '153']
['10', '91', '180', '94']
['16', '136', '141', '143']
['483', '215', '401', '405']
['84', '339', '81', '85']
['51', '128', '54', '55']
['474', '425', '429', '431']
['98', '362', '367', '449']
['34', '204', '376', '394']
['66', '71', '441', '445']
['3', '59', '80', '164']
['402', '197', '279', '393']
['35', '187', '38', '39']
['186', '191', '481', '485']
['243', '62', '198', '199']
['208', '232', '364', '237']
['475', '366', '454', '455']
['144', '316', '448', '313']
['203', '227', '201', '205']
['264', '320', '269', '325']
['266', '432', '157', '159']
['52', '49', '413', '414']
['122', '202', '127', '207']
['260', '257', '302', '303']
['349', '350', '351', '359']
['96', '288', '459', '95']
['163', '458', '476', '166']
['392', '365', '390', '397']
['0', '155', '272', '5']
['92', '258', '89', '93']
['395', '456', '398', '399']
['287', '353', '357', '358']
['168', '284', '354', '173']
['99', '194', '195', '102']
['48', '355', '53', '473']
['20', '17', '21', '22']
['50', '488', '493', '495']
['147', '179', '304', '385']
['56', '104', '492', '489']
['60', '83', '290', '314']
['132', '129', '133', '134']
['116', '123', '176', '460']
['263', '281', '285', '286']
['124', '244', '121', '126']
['241', '245', '246', '247']
['90', '115', '152', '396']
['82', '170', '363', '378']
['406', '407', '465', '469']
['384', '482', '389', '453']
['28', '25', '29', '438']
['291', '315', '420', '318']
['26', '139', '426', '31']
['112', '146', '110', '119']
['107', '148', '234', '330']
['106', '172', '387', '111']
['369', '373', '374', '375']
['344', '337', '341', '342']
['228', '225', '229', '230']
['211', '323', '371', '214']
['108', '240', '467', '105']
['212', '400', '209', '213']
['27', '275', '30', '278']
['200', '249', '253', '261']
['114', '289', '293', '294']
['295', '439', '462', '463']
['307', '484', '310', '311']
['130', '411', '135', '361']
['138', '184', '418', '189']
['242', '436', '433', '437']
['450', '177', '181', '182']
['76', '250', '73', '77']
['236', '346', '466', '233']
['329', '333', '334', '335']
['58', '63', '161', '165']
['470', '471', '478', '479']
['154', '224', '280', '158']
['235', '268', '238', '239']
['88', '192', '57', '61']
['308', '322', '305', '309']
['36', '33', '37', '45']
['276', '443', '273', '277']
['11', '171', '340', '356']
['12', '299', '9', '13']
['388', '265', '270', '271']
['427', '343', '383', '430']
['131', '379', '408', '190']
['67', '368', '442', '70']
['328', '145', '149', '150']
['324', '321', '326', '327']
['32', '417', '421', '422']
['169', '174', '175', '183']
['42', '47', '86', '87']
['178', '267', '306', '380']
['312', '317', '319', '345']
['188', '372', '424', '185']
['18', '74', '352', '434']
['68', '491', '494', '65']
['2', '40', '100', '283']
['97', '101', '103', '109']
['446', '447', '486', '487']
['43', '162', '23', '46']
['259', '451', '480', '262']
['386', '391', '457', '461']
['75', '78', '79', '409']
