['147', '138', '195', '85', '367', '74', '58', '258', '144', '322', '45', '24', '26', '112', '152', '169', '252', '286', '302', '338', '342']
['318', '275', '348', '350', '250', '232', '290', '353', '15', '230', '292', '46', '111', '177', '319', '339', '366', '4', '47', '61', '63']
['307', '126', '5', '312', '31', '168', '359', '60', '235', '303', '334', '120', '132', '185', '188', '216', '247', '259', '321', '341', '389']
['372', '151', '355', '155', '175', '190', '222', '285', '296', '335', '352', '396', '32', '51', '53', '114', '119', '127', '156', '176', '184']
['154', '246', '392', '314', '139', '351', '10', '88', '313', '13', '77', '96', '160', '224', '370', '59', '67', '226', '254', '316', '8']
['103', '284', '110', '115', '117', '193', '221', '128', '167', '198', '217', '278', '295', '382', '394', '92', '109', '113', '134', '135', '159']
['387', '72', '91', '143', '145', '199', '201', '212', '218', '265', '270', '271', '385', '388', '393', '87', '174', '233', '249', '262', '281']
['41', '43', '44', '164', '187', '219', '231', '255', '282', '320', '375', '378', '19', '33', '36', '38', '39', '101', '102', '148', '173']
['11', '78', '56', '105', '129', '136', '227', '234', '273', '280', '324', '368', '170', '179', '204', '213', '356', '360', '2', '66', '98']
['153', '381', '81', '223', '244', '336', '305', '80', '122', '191', '248', '272', '277', '287', '300', '330', '343', '369', '146', '182', '237']
['65', '373', '374', '391', '163', '206', '189', '323', '194', '220', '297', '116', '69', '142', '245', '347', '108', '97', '308', '52']
['3', '125', '23', '131', '365', '70', '309', '197', '371', '196', '251', '150', '327', '93', '124', '253', '279', '306', '256', '362', '1']
['239', '328', '333', '398', '17', '89', '90', '106', '242', '263', '266', '299', '14', '161', '200', '208', '229', '261', '264', '283', '301']
['346', '386']
['22', '76', '79', '260', '269', '326', '332', '345', '12', '16', '25', '35', '42', '64', '82', '100', '107', '130', '140', '240', '274']
['37', '228', '288', '289', '293', '317', '344', '358', '380', '28', '50', '165', '241', '57', '99', '192', '268', '291', '304', '357', '361']
['325', '94', '243', '340', '363', '178', '181', '294', '349', '49', '68', '75', '180', '183', '205', '364', '21', '73', '83', '84', '121']
['186', '400', '377', '133', '157', '162', '211', '238', '267', '311', '337', '390', '399', '7', '20', '27', '40', '207', '209', '214', '276']
['298', '137', '18', '149', '379', '203', '383', '34', '48', '54', '55', '95', '104', '141', '166', '202', '329', '397', '6', '9', '29']
['215', '225', '315', '158', '171', '172', '310', '376', '86', '118', '210', '236', '257', '384', '395', '62', '123', '331', '354', '30', '71']
