<<<<<<< HEAD
['10', '13', '30', '34', '33']
['1', '3', '2', '12', '18']
['4', '11', '39', '37', '48']
['40', '41', '45', '43', '42']
['21', '24', '23', '0', '14']
['5', '6', '9', '46', '32']
['35', '25', '38', '31', '8']
['17', '19', '15', '16', '7']
['22', '47', '20', '49', '36']
['26', '29', '28', '27', '44']
=======
['45', '49', '44', '34', '48']
['25', '27', '28', '29', '35']
['38', '39', '8', '4', '24']
['26', '1', '18', '3', '2']
['22', '20', '46', '21', '47']
['11', '13', '7', '9', '6']
['37', '5', '36', '16', '23']
['32', '33', '10', '31', '30']
['19', '17', '15', '0', '14']
['40', '42', '43', '12', '41']
>>>>>>> 2d18c34f78deacf1f06c524c0eabd0939a033ca0
